"place","pop_2010","pop_2011","pop_2012","district","distrct"
"смт Грушове","940","919","905","","Луганська область"
"смт Запоріжжя","977","940","916","","Луганська область"
"смт Княгинівка","959","946","917","","Луганська область"
"смт Садово-Хрустальненський","633","622","614","","Луганська область"
"смт Софіївський","4124","4050","4024","","Луганська область"
"смт Федорівка","410","410","411","","Луганська область"
"смт Хрустальне","1493","1469","1442","","Луганська область"
"смт Штерівка","1342","1323","1300","","Луганська область"
"Краснодон (міськрада)","106228","105413","104640","","Луганська область"
"м. Краснодон","45127","44840","44574","","Луганська область"
"м. Молодогвардійськ","23757","23580","23430","","Луганська область"
"м. Суходільськ","21427","21324","21167","","Луганська область"
"смт Гірне","74","64","59","","Луганська область"
"смт Енгельсове","1042","1023","1010","","Луганська область"
"смт Ізварине","1769","1755","1727","","Луганська область"
"смт Краснодарський","341","344","337","","Луганська область"
"смт Краснодон","5459","5398","5379","","Луганська область"
"смт Сєверний","2001","1954","1928","","Луганська область"
"смт Сєверо-Гундорівський","1207","1177","1131","","Луганська область"
"смт Урало-Кавказ","2701","2673","2620","","Луганська область"
"Лисичанськ (міськрада)","122573","121460","120785","","Луганська область"
"м. Лисичанськ","106557","105689","105119","","Луганська область"
"м. Новодружеськ","7968","7870","7816","","Луганська область"
"м. Привілля","8048","7901","7850","","Луганська область"
"Первомайськ (міськрада)","71870","71149","70581","","Луганська область"
"м. Первомайськ","39105","38801","38640","","Луганська область"
"м. Гірське","10428","10317","10216","","Луганська область"
"м. Золоте","15202","14974","14745","","Луганська область"
"смт Нижнє","2689","2651","2602","","Луганська область"
"смт Тошківка","4446","4406","4378","","Луганська область"
"Ровеньки (міськрада)","85444","84813","84366","","Луганська область"
"м. Ровеньки","49150","48694","48262","","Луганська область"
"смт Великокам'янка","1181","1163","1149","","Луганська область"
"смт Гірник","800","817","802","","Луганська область"
"смт Дзержинський","8593","8599","8679","","Луганська область"
"смт Кленовий","2177","2142","2101","","Луганська область"
"смт Михайлівка","2871","2811","2808","","Луганська область"
"смт Нагольно-Тарасівка","2064","2073","2107","","Луганська область"
"смт Новодар'ївка","4473","4460","4436","","Луганська область"
"смт Пролетарський","1545","1548","1569","","Луганська область"
"смт Тацине","275","272","270","","Луганська область"
"смт Ясенівський","9041","9017","9028","","Луганська область"
"м. Рубіжне","61528","61104","60750","","Луганська область"
"Свердловськ (міськрада)","99913","99273","99024","","Луганська область"
"м. Свердловськ","66293","65868","65721","","Луганська область"
"м. Червонопартизанськ","15928","15843","15749","","Луганська область"
"смт Володарськ","2818","2796","2787","","Луганська область"
"смт Калінінський","1739","1735","1723","","Луганська область"
"смт Комсомольський","3126","3119","3137","","Луганська область"
"смт Ленінське","3492","3446","3437","","Луганська область"
"смт Павлівка","1067","1065","1071","","Луганська область"
"смт Шахтарське","3654","3626","3632","","Луганська область"
"Сєвєродонецьк (міськрада)","121788","120976","120264","","Луганська область"
"м. Сєвєродонецьк","111487","110612","109891","","Луганська область"
"смт Борівське","5939","5949","5928","","Луганська область"
"смт Воронове","831","839","850","","Луганська область"
"смт Метьолкине","687","699","729","","Луганська область"
"смт Сиротине","1592","1604","1615","","Луганська область"
"Стаханов (міськрада)","94801","93749","92818","","Луганська область"
"м. Стаханов","79736","79010","78255","","Луганська область"
"м. Алмазна","4444","4384","4363","","Луганська область"
"м. Ірміно","10621","10355","10200","","Луганська область"
"Антрацитівський район","32315","31850","31454","","Луганська область"
"смт Єсаулівка","1517","1506","1487","","Луганська область"
"смт Іванівка","7421","7333","7310","","Луганська область"
"смт Красний Кут","2619","2563","2506","","Луганська область"
"смт Маломиколаївка","1778","1771","1750","","Луганська область"
"смт Нижній Нагольчик","1685","1661","1656","","Луганська область"
"смт Фащівка","2528","2459","2414","","Луганська область"
"Біловодський район","24947","24760","24459","","Луганська область"
"смт Біловодськ","8348","8313","8224","","Луганська область"
"Білокуракинський район","20385","20189","19858","","Луганська область"
"смт Білокуракине","7032","6944","6811","","Луганська область"
"смт Лозно-Олександрівка","1000","1000","990","","Луганська область"
"Краснодонський район","30441","30267","29983","","Луганська область"
"смт Великий Лог","656","638","640","","Луганська область"
"смт Мирне","404","396","376","","Луганська область"
"смт Новоолександрівка","1612","1609","1591","","Луганська область"
"смт Новосвітлівка","3726","3755","3736","","Луганська область"
"смт Сімейкине","2355","2329","2303","","Луганська область"
"смт Талове","1431","1434","1427","","Луганська область"
"Кремінський район","43742","43066","42357","","Луганська область"
"м. Кремінна","21017","20735","20486","","Луганська область"
"смт Красноріченське","4644","4595","4522","","Луганська область"
"Лутугинський район","68821","68411","67977","","Луганська область"
"м. Лутугине","18241","18107","18078","","Луганська область"
"смт Біле","6627","6593","6589","","Луганська область"
"смт Білоріченський","3499","3443","3373","","Луганська область"
"смт Врубівський","1357","1326","1314","","Луганська область"
"смт Георгіївка","6467","6465","6488","","Луганська область"
"смт Леніна","1091","1083","1074","","Луганська область"
"смт Успенка","8986","8974","8926","","Луганська область"
"смт Челюскінець","1149","1151","1145","","Луганська область"
"смт Юр'ївка","3099","3075","3011","","Луганська область"
"Марківський район","16413","16197","15991","","Луганська область"
"смт Марківка","6493","6421","6352","","Луганська область"
"Міловський район","15914","15795","15696","","Луганська область"
"смт Мілове","5963","5975","5977","","Луганська область"
"Новоайдарський район","25984","25779","25618","","Луганська область"
"смт Новоайдар","8639","8622","8595","","Луганська область"
"Новопсковський район","35729","35549","35271","","Луганська область"
"смт Новопсков","9869","9900","9889","","Луганська область"
"смт Білолуцьк","4076","4049","4013","","Луганська область"
"Перевальський район","74077","73115","72387","","Луганська область"
"м. Перевальськ","26307","26132","26037","","Луганська область"
"м. Артемівськ","7751","7616","7551","","Луганська область"
"м. Зоринськ","7622","7532","7447","","Луганська область"
"смт Байрачки","886","867","848","","Луганська область"
"смт Бугаївка","3183","3194","3156","","Луганська область"
"смт Городище","2664","2602","2546","","Луганська область"
"смт Комісарівка","1854","1785","1770","","Луганська область"
"смт Михайлівка","2534","2467","2452","","Луганська область"
"смт Селезнівка","2580","2568","2551","","Луганська область"
"смт Фащівка","4884","4845","4814","","Луганська область"
"смт Центральний","864","847","835","","Луганська область"
"смт Чорнухине","6275","6137","6043","","Луганська область"
"смт Ящикове","1913","1877","1846","","Луганська область"
"Попаснянський район","42344","41722","41232","","Луганська область"
"м. Попасна","22495","22211","22088","","Луганська область"
"смт Білогорівка","987","976","966","","Луганська область"
"смт Вовчоярівка","948","933","899","","Луганська область"
"смт Врубівка","1042","1030","1021","","Луганська область"
"смт Калинове","3211","3180","3143","","Луганська область"
"смт Комишуваха","2346","2310","2272","","Луганська область"
"смт Малорязанцеве","840","838","829","","Луганська область"
"смт Мирна Долина","370","355","345","","Луганська область"
"Сватівський район","38482","38034","37652","","Луганська область"
"м. Сватове","18558","18417","18339","","Луганська область"
"смт Нижня Дуванка","2253","2244","2221","","Луганська область"
"Свердловський район","12557","12374","12210","","Луганська область"
"смт Бірюкове","4125","4097","4059","","Луганська область"
"Слов'яносербський район","56066","55919","55462","","Луганська область"
"м. Зимогір'я","10192","10148","10042","","Луганська область"
"смт Слов'яносербськ","8060","8065","8083","","Луганська область"
"смт Лозівський","5212","5146","5096","","Луганська область"
"смт Лотикове","3158","3274","3247","","Луганська область"
"смт Родакове","6316","6292","6274","","Луганська область"
"смт Фрунзе","3354","3321","3282","","Луганська область"
"Станично-Луганський район","49798","49734","49732","","Луганська область"
"смт Станиця Луганська","13675","13744","13734","","Луганська область"
"смт Петрівка","5013","4981","5000","","Луганська область"
"Старобільський район","49062","48263","47765","","Луганська область"
"м. Старобільськ","19113","18796","18614","","Луганська область"
"Троїцький район","21738","21473","21205","","Луганська область"
"смт Троїцьке","8020","7975","7919","","Луганська область"
"Львівська область","2549617","2544748","2540938","","Львівська область"
"Львів (міськрада)","761691","760026","758130","","Львівська область"
"м. Львів","733989","732009","729842","","Львівська область"
"м. Винники","15457","15723","15976","","Львівська область"
"смт Брюховичі","5834","5772","5725","","Львівська область"
"смт Рудне","6411","6522","6587","","Львівська область"
"Борислав (міськрада)","37281","37189","37143","","Львівська область"
"м. Борислав","35143","35040","34963","","Львівська область"
"смт Східниця","2138","2149","2180","","Львівська область"
"Дрогобич (міськрада)","99157","98737","98127","","Львівська область"
"м. Дрогобич","78024","77624","77142","","Львівська область"
"м. Стебник","21133","21113","20985","","Львівська область"
"м. Моршин","6135","6108","6064","","Львівська область"
"м. Новий Розділ","28462","28554","28765","","Львівська область"
"м. Самбір","35044","35054","34995","","Львівська область"
"м. Стрий","60354","60267","60146","","Львівська область"
"м. Трускавець","29797","29729","29623","","Львівська область"
"Червоноград (міськрада)","82902","82756","82725","","Львівська область"
"м. Червоноград","68464","68308","68246","","Львівська область"
"м. Соснівка","11613","11588","11606","","Львівська область"
"смт Гірник","2825","2860","2873","","Львівська область"
"Бродівський район","60943","60483","60161","","Львівська область"
"м. Броди","23844","23752","23725","","Львівська область"
"смт Підкамінь","2149","2128","2103","","Львівська область"
"Буський район","46609","46481","46410","","Львівська область"
"м. Буськ","8342","8355","8414","","Львівська область"
"смт Красне","6265","6308","6311","","Львівська область"
"смт Олесько","1507","1510","1494","","Львівська область"
"Городоцький район","69708","69472","69344","","Львівська область"
"м. Городок","15760","15825","15879","","Львівська область"
"м. Комарно","3876","3884","3857","","Львівська область"
"смт Великий Любінь","4543","4550","4559","","Львівська область"
"Дрогобицький район","74329","74444","74530","","Львівська область"
"смт Меденичі","3342","3361","3379","","Львівська область"
"смт Підбуж","2888","2962","3026","","Львівська область"
"Жидачівський район","72405","71724","71146","","Львівська область"
"м. Жидачів","11274","11204","11203","","Львівська область"
"м. Ходорів","9884","9900","9891","","Львівська область"
"смт Гніздичів","4175","4183","4197","","Львівська область"
"смт Журавне","3632","3611","3597","","Львівська область"
"смт Нові Стрілища","859","856","858","","Львівська область"
"Жовківський район","109345","109388","109266","","Львівська область"
"м. Жовква","13427","13455","13518","","Львівська область"
"м. Дубляни","10945","10795","10417","","Львівська область"
"м. Рава-Руська","8266","8328","8355","","Львівська область"
"смт Куликів","3920","3963","3980","","Львівська область"
"смт Магерів","1974","1968","1992","","Львівська область"
"Золочівський район","70378","70166","69961","","Львівська область"
"м. Золочів","23817","23900","24059","","Львівська область"
"м. Глиняни","3223","3242","3194","","Львівська область"
"смт Поморяни","1384","1370","1365","","Львівська область"
"Кам'янка-Бузький район","57633","57515","57410","","Львівська область"
"м. Кам'янка-Бузька","10914","10921","10934","","Львівська область"
"смт Добротвір","6437","6457","6457","","Львівська область"
"смт Запитів","2705","2730","2771","","Львівська область"
"смт Новий Яричів","2882","2904","2917","","Львівська область"
"Миколаївський район","63535","63382","63281","","Львівська область"
"м. Миколаїв","14778","14824","14845","","Львівська область"
"смт Розділ","2732","2696","2666","","Львівська область"
"Мостиський район","57495","57381","57403","","Львівська область"
"м. Мостиська","9013","9095","9162","","Львівська область"
"м. Судова Вишня","6399","6434","6436","","Львівська область"
"Перемишлянський район","40925","40403","40065","","Львівська область"
"м. Перемишляни","6946","6918","6871","","Львівська область"
"м. Бібрка","3749","3781","3806","","Львівська область"
"Пустомитівський район","111835","112361","112852","","Львівська область"
"м. Пустомити","9018","9016","9060","","Львівська область"
"смт Щирець","5708","5733","5731","","Львівська область"
"Радехівський район","48972","48740","48585","","Львівська область"
"м. Радехів","9456","9463","9563","","Львівська область"
"смт Лопатин","3384","3388","3363","","Львівська область"
"Самбірський район","69951","69700","69524","","Львівська область"
"м. Рудки","5345","5408","5415","","Львівська область"
"смт Дубляни","1858","1848","1846","","Львівська область"
"м. Новий Калинів","4086","4070","4095","","Львівська область"
"Сколівський район","47115","47198","47394","","Львівська область"
"м. Сколе","6244","6269","6306","","Львівська область"
"смт Верхнє Синьовидне","3336","3348","3378","","Львівська область"
"смт Славське","3286","3308","3342","","Львівська область"
"Сокальський район","93983","93728","93628","","Львівська область"
"м. Сокаль","21355","21337","21406","","Львівська область"
"м. Белз","2357","2359","2363","","Львівська область"
"м. Великі Мости","6010","6037","6094","","Львівська область"
"м. Угнів","1008","997","1008","","Львівська область"
"смт Жвирка","3697","3710","3683","","Львівська область"
"Старосамбірський район","78494","78236","78220","","Львівська область"
"м. Старий Самбір","6194","6266","6371","","Львівська область"
"м. Добромиль","4585","4537","4494","","Львівська область"
"м. Хирів","4132","4106","4097","","Львівська область"
"смт Нижанковичі","1833","1824","1849","","Львівська область"
"смт Стара Сіль","1181","1158","1153","","Львівська область"
"Стрийський район","61971","62056","62090","","Львівська область"
"смт Дашава","2338","2333","2342","","Львівська область"
"Турківський район","50424","50313","50303","","Львівська область"
"м. Турка","7077","7114","7182","","Львівська область"
"смт Бориня","1467","1462","1455","","Львівська область"
"Яворівський район","122744","123157","123647","","Львівська область"
"м. Яворів","12873","12948","12900","","Львівська область"
"м. Новояворівськ","28516","28807","29225","","Львівська область"
"смт Івано-Франкове","6160","6223","6271","","Львівська область"
"смт Краковець","1110","1106","1117","","Львівська область"
"смт Немирів","1968","1973","1984","","Львівська область"
"смт Шкло","5733","5754","5789","","Львівська область"
"Миколаївська область","1189516","1183282","1178223","","Миколаївська область"
"м. Миколаїв","501183","498748","497032","","Миколаївська область"
"м. Вознесенськ","37315","37049","36841","","Миколаївська область"
"м. Очаків","14981","14834","14721","","Миколаївська область"
"м. Первомайськ","67184","66965","66828","","Миколаївська область"
"м. Южноукраїнськ","40027","40206","40530","","Миколаївська область"
"Арбузинський район","21385","21109","20872","","Миколаївська область"
"смт Арбузинка","6513","6457","6407","","Миколаївська область"
"смт Костянтинівка","2369","2312","2277","","Миколаївська область"
"Баштанський район","38753","38683","38537","","Миколаївська область"
"м. Баштанка","12654","12696","12657","","Миколаївська область"
"Березанський район","24010","23926","23841","","Миколаївська область"
"смт Березанка","4093","4118","4100","","Миколаївська область"
"Березнегуватський район","21278","21170","21065","","Миколаївська область"
"смт Березнегувате","7747","7722","7724","","Миколаївська область"
"Братський район","18910","18694","18538","","Миколаївська область"
"смт Братське","5532","5456","5384","","Миколаївська область"
"Веселинівський район","24295","24113","23935","","Миколаївська область"
"смт Веселинове","6353","6238","6201","","Миколаївська область"
"смт Кудрявцівка","2055","2077","2070","","Миколаївська область"
"Вознесенський район","31790","31561","31441","","Миколаївська область"
"смт Олександрівка","5511","5465","5461","","Миколаївська область"
"Врадіївський район","18666","18435","18194","","Миколаївська область"
"смт Врадіївка","8818","8669","8537","","Миколаївська область"
"Доманівський район","26469","26262","26121","","Миколаївська область"
"смт Доманівка","6337","6288","6245","","Миколаївська область"
"Єланецький район","16134","16066","15983","","Миколаївська область"
"смт Єланець","5023","4969","4957","","Миколаївська область"
"Жовтневий район","51668","51481","51349","","Миколаївська область"
"смт Воскресенське","4753","4756","4790","","Миколаївська область"
"смт Первомайське","2977","2931","2923","","Миколаївська область"
"Казанківський район","20876","20717","20536","","Миколаївська область"
"смт Казанка","7404","7343","7302","","Миколаївська область"
"Кривоозерський район","25771","25680","25502","","Миколаївська область"
"смт Криве Озеро","7972","7958","7953","","Миколаївська область"
"Миколаївський район","31440","31373","31193","","Миколаївська область"
"смт Ольшанське","3775","3775","3741","","Миколаївська область"
"Новобузький район","32186","31946","31763","","Миколаївська область"
"м. Новий Буг","15807","15686","15573","","Миколаївська область"
"Новоодеський район","34697","34499","34390","","Миколаївська область"
"м. Нова Одеса","12520","12410","12347","","Миколаївська область"
"Очаківський район","16018","15966","15860","","Миколаївська область"
"Первомайський район","31903","31665","31390","","Миколаївська область"
"смт Підгородна","2190","2205","2195","","Миколаївська область"
"Снігурівський район","42577","42134","41761","","Миколаївська область"
"м. Снігурівка","13642","13454","13318","","Миколаївська область"
"Одеська область","2391022","2388670","2388297","","Одеська область"
"м. Одеса","1010326","1009145","1008162","","Одеська область"
"Білгород-Дністровський (міськрада)","57152","57208","57206","","Одеська область"
"м. Білгород-Дністровський","50262","50296","50263","","Одеська область"
"смт Затока","1648","1637","1635","","Одеська область"
"смт Сергіївка","5242","5275","5308","","Одеська область"
"м. Ізмаїл","75787","74581","73651","","Одеська область"
"Іллічівськ (міськрада)","70767","71231","71691","","Одеська область"
"м. Іллічівськ","58900","59229","59465","","Одеська область"
"смт Олександрівка","6836","6953","7098","","Одеська область"
"м. Котовськ","40569","40668","40700","","Одеська область"
"м. Теплодар","10028","10081","10165","","Одеська область"
"м. Южне","27895","29327","30857","","Одеська область"
"Ананьївський район","28638","28284","28013","","Одеська область"
"м. Ананьїв","8713","8718","8659","","Одеська область"
"Арцизький район","46572","46377","46213","","Одеська область"
"м. Арциз","15207","15229","15211","","Одеська область"
"Балтський район","43776","43439","43081","","Одеська область"
"м. Балта","19378","19353","19311","","Одеська область"
"Березівський район","34250","34052","34006","","Одеська область"
"м. Березівка","9790","9737","9753","","Одеська область"
"смт Раухівка","2587","2603","2624","","Одеська область"
"Білгород-Дністровський район","60111","60232","60378","","Одеська область"
"Біляївський район","94256","93612","93242","","Одеська область"
"м. Біляївка","12380","12213","12127","","Одеська область"
"смт Хлібодарське","2384","2357","2343","","Одеська область"
"Болградський район","69456","69384","69572","","Одеська область"
"м. Болград","15470","15479","15629","","Одеська область"
"Великомихайлівський район","30993","30992","31013","","Одеська область"
"смт Велика Михайлівка","5762","5753","5701","","Одеська область"
"смт Цебрикове","2758","2754","2786","","Одеська область"
"Іванівський район","27039","26954","26828","","Одеська область"
"смт Іванівка","2690","2618","2558","","Одеська область"
"смт Петрівка","4626","4647","4678","","Одеська область"
"смт Радісне","1623","1618","1603","","Одеська область"
"Ізмаїльський район","52148","52037","52031","","Одеська область"
"смт Суворове","4691","4665","4661","","Одеська область"
"Кілійський район","54078","53782","53585","","Одеська область"
"м. Кілія","20932","20829","20755","","Одеська область"
"м. Вилкове","8610","8570","8535","","Одеська область"
"Кодимський район","30975","30666","30484","","Одеська область"
"м. Кодима","8958","8932","8925","","Одеська область"
"смт Слобідка","2444","2419","2442","","Одеська область"
"Комінтернівський район","69387","69368","69243","","Одеська область"
"смт Комінтернівське","6867","6863","6874","","Одеська область"
"смт Нові Білярі","634","478","249","","Одеська область"
"смт Чорноморське","6791","6771","6763","","Одеська область"
"Котовський район","28340","28099","28018","","Одеська область"
"Красноокнянський район","20686","20556","20433","","Одеська область"
"смт Красні Окни","5421","5399","5361","","Одеська область"
"Любашівський район","31298","31161","31089","","Одеська область"
"смт Любашівка","9428","9429","9481","","Одеська область"
"смт Зеленогірське","1623","1627","1608","","Одеська область"
"Миколаївський район","16909","16720","16599","","Одеська область"
"смт Миколаївка","3024","2972","2928","","Одеська область"
"Овідіопольський район","69167","70554","72097","","Одеська область"
"смт Овідіополь","11612","11741","11855","","Одеська область"
"смт Авангард","2927","2984","3044","","Одеська область"
"смт Великодолинське","12873","13036","13149","","Одеська область"
"смт Таїрове","2514","2593","2673","","Одеська область"
"Ренійський район","37953","37965","37986","","Одеська область"
"м. Рені","19477","19488","19553","","Одеська область"
"Роздільнянський район","57154","57498","57677","","Одеська область"
"м. Роздільна","17832","17931","17894","","Одеська область"
"смт Лиманське","7219","7301","7354","","Одеська область"
"Савранський район","20067","19858","19740","","Одеська область"
"смт Саврань","6629","6616","6594","","Одеська область"
"Саратський район","46278","45994","45813","","Одеська область"
"смт Сарата","4642","4550","4453","","Одеська область"
"Тарутинський район","42182","42035","41975","","Одеська область"
"смт Тарутине","5997","6055","6073","","Одеська область"
"смт Березине","3505","3483","3502","","Одеська область"
"смт Бородіно","1674","1661","1631","","Одеська область"
"смт Серпневе","1792","1786","1803","","Одеська область"
"Татарбунарський район","39213","39160","39164","","Одеська область"
"м. Татарбунари","10808","10881","10974","","Одеська область"
"Фрунзівський район","20057","20104","20091","","Одеська область"
"смт Фрунзівка","5121","5174","5181","","Одеська область"
"смт Затишшя","3435","3470","3516","","Одеська область"
"Ширяївський район","27515","27546","27494","","Одеська область"
"смт Ширяєве","6801","6839","6860","","Одеська область"
"Полтавська область","1499567","1487751","1477195","","Полтавська область"
"м. Полтава","300501","298871","297589","","Полтавська область"
"Комсомольськ (міськрада)","54439","54348","54293","","Полтавська область"
"м. Комсомольск","51959","51866","51743","","Полтавська область"
"м. Кременчук","227611","226976","226434","","Полтавська область"
"м. Лубни","48496","48122","47881","","Полтавська область"
"м. Миргород","41374","41239","41240","","Полтавська область"
"Великобагачанський район","26750","26436","26138","","Полтавська область"
"смт Велика Багачка","5790","5797","5799","","Полтавська область"
"смт Гоголеве","2607","2615","2611","","Полтавська область"
"Гадяцький район","57110","56711","56185","","Полтавська область"
"м. Гадяч","24031","24132","24200","","Полтавська область"
"Глобинський район","49097","47975","46868","","Полтавська область"
"м. Глобине","10708","10487","10254","","Полтавська область"
"смт Градизьк","7128","6972","6840","","Полтавська область"
"Гребінківський район","23673","23408","23231","","Полтавська область"
"м. Гребінка","11022","10994","10990","","Полтавська область"
"Диканський район","19866","19656","19465","","Полтавська область"
"смт Диканька","7993","7934","7871","","Полтавська область"
"Зіньківський район","37193","36778","36396","","Полтавська область"
"м. Зіньків","10043","10042","10009","","Полтавська область"
"смт Опішня","5604","5536","5498","","Полтавська область"
"Карлівський район","36957","36303","35558","","Полтавська область"
"м. Карлівка","16175","15863","15501","","Полтавська область"
"Кобеляцький район","45805","45164","44498","","Полтавська область"
"м. Кобеляки","10484","10379","10250","","Полтавська область"
"смт Білики","5297","5260","5260","","Полтавська область"
"Козельщинський район","21036","20742","20520","","Полтавська область"
"смт Козельщина","3895","3880","3850","","Полтавська область"
"смт Нова Галещина","2355","2329","2308","","Полтавська область"
"Котелевський район","20193","20045","19953","","Полтавська область"
"смт Котельва","12472","12427","12459","","Полтавська область"
"Кременчуцький район","41344","40963","40586","","Полтавська область"
"Лохвицький район","45962","45450","44964","","Полтавська область"
"м. Лохвиця","11962","11965","11939","","Полтавська область"
"м. Червонозаводське","8756","8724","8654","","Полтавська область"
"Лубенський район","34426","33942","33531","","Полтавська область"
"Машівський район","20486","20337","20129","","Полтавська область"
"смт Машівка","3855","3845","3839","","Полтавська область"
"Миргородський район","34833","34369","34007","","Полтавська область"
"смт Комишня","2356","2345","2341","","Полтавська область"
"смт Ромодан","2993","2973","2937","","Полтавська область"
"Новосанжарський район","36374","36067","35788","","Полтавська область"
"смт Нові Санжари","8356","8491","8505","","Полтавська область"
"Оржицький район","25597","25325","25132","","Полтавська область"
"смт Оржиця","3585","3573","3556","","Полтавська область"
"смт Новооржицьке","1891","1885","1912","","Полтавська область"
"Пирятинський район","33419","33127","32796","","Полтавська область"
"м. Пирятин","16264","16146","16086","","Полтавська область"
"Полтавський район","66621","66623","66638","","Полтавська область"
"Решетилівський район","27345","27121","26973","","Полтавська область"
"смт Решетилівка","9404","9376","9400","","Полтавська область"
"Семенівський район","27549","27198","26896","","Полтавська область"
"смт Семенівка","6636","6552","6493","","Полтавська область"
"Хорольський район","37083","36674","36272","","Полтавська область"
"м. Хорол","13785","13720","13631","","Полтавська область"
"Чорнухинський район","12680","12440","12215","","Полтавська область"
"смт Чорнухи","2699","2662","2649","","Полтавська область"
"Чутівський район","24145","23965","23793","","Полтавська область"
"смт Чутове","6264","6272","6277","","Полтавська область"
"смт Артемівка","3394","3368","3338","","Полтавська область"
"Шишацький район","21602","21376","21226","","Полтавська область"
"смт Шишаки","4740","4718","4702","","Полтавська область"
"Рівненська область","1151624","1152526","1154256","","Рівненська область"
"м. Рівне","249582","249840","250174","","Рівненська область"
"м. Дубно","38053","38037","38011","","Рівненська область"
"м. Кузнецовськ","40872","41190","41273","","Рівненська область"
"м. Острог","15429","15528","15569","","Рівненська область"
"Березнівський район","62768","62749","62982","","Рівненська область"
"м. Березне","13396","13390","13372","","Рівненська область"
"смт Соснове","2050","2036","2038","","Рівненська область"
"Володимирецький район","61215","61713","62242","","Рівненська область"
"смт Володимирець","8829","8857","8932","","Рівненська область"
"смт Рафалівка","3337","3341","3382","","Рівненська область"
"Гощанський район","36040","35913","35803","","Рівненська область"
"смт Гоща","5340","5360","5361","","Рівненська область"
"Демидівський район","15049","14897","14821","","Рівненська область"
"смт Демидівка","2612","2593","2584","","Рівненська область"
"Дубенський район","45951","45784","45773","","Рівненська область"
"смт Смига","2647","2654","2681","","Рівненська область"
"Дубровицький район","48407","48323","48252","","Рівненська область"
"м. Дубровиця","9383","9430","9424","","Рівненська область"
"Зарічненський район","34881","34921","34949","","Рівненська область"
"смт Зарічне","7005","7045","7130","","Рівненська область"
"Здолбунівський район","56920","56801","56812","","Рівненська область"
"м. Здолбунів","24549","24537","24527","","Рівненська область"
"смт Мізоч","3567","3550","3546","","Рівненська область"
"Корецький район","34959","34589","34317","","Рівненська область"
"м. Корець","7543","7428","7421","","Рівненська область"
"Костопільський район","64263","64424","64682","","Рівненська область"
"м. Костопіль","30850","31155","31437","","Рівненська область"
"Млинівський район","38858","38568","38319","","Рівненська область"
"смт Млинів","8452","8469","8481","","Рівненська область"
"Острозький район","29242","29103","28999","","Рівненська область"
"Радивилівський район","38055","37806","37609","","Рівненська область"
"м. Радивилів","10479","10487","10501","","Рівненська область"
"Рівненський район","88521","88938","89090","","Рівненська область"
"смт Квасилів","8046","8117","8147","","Рівненська область"
"смт Клевань","7700","7708","7730","","Рівненська область"
"смт Оржів","4020","3961","3921","","Рівненська область"
"Рокитнівський район","52887","53267","53687","","Рівненська область"
"смт Рокитне","6866","6825","6801","","Рівненська область"
"смт Томашгород","2361","2362","2359","","Рівненська область"
"Сарненський район","99672","100135","100892","","Рівненська область"
"м. Сарни","28609","28604","28744","","Рівненська область"
"смт Клесів","4541","4543","4579","","Рівненська область"
"смт Степань","4116","4108","4146","","Рівненська область"
"Сумська область","1172317","1161544","1152333","","Сумська область"
"Суми (міськрада)","275153","273870","272540","","Сумська область"
"м. Суми","272326","271016","269663","","Сумська область"
"Глухів (міськрада)","35319","35193","35017","","Сумська область"
"м. Глухів","35089","34962","34790","","Сумська область"
"Конотоп (міськрада)","94059","93484","93286","","Сумська область"
"м. Конотоп","89816","89243","89046","","Сумська область"
