"deputat","tvo","winner","likelihood","proposed","fraction","age","gender.x","spread"
"Гаврон Володимир Іванович",126,0,0.171043498618338,"політична партія голос",NA,42,"M",0
"Пасічний Олександр Станіславович",127,1,0.545393367672311,"політична партія слуга народу",NA,47,"M",0.120611959937658
"Козир Борис Юрійович",127,0,0.424781407734653,"самовисування","партії блок петра порошенка",44,"M",0
"Ільюк Артем Олександрович",128,1,0.49267243491428,"самовисування","партія відродження",40,"M",0.0113533680078691
"Гайду Олександр Васильович",128,0,0.48131906690641,"політична партія слуга народу",NA,43,"M",0
"Копитін Ігор Володимирович",129,1,0.508561523024328,"політична партія слуга народу",NA,38,"M",0.051478083891908
"Жолобецький Олександр Олександрович",129,0,0.45708343913242,"самовисування","партії блок петра порошенка",53,"M",0
"Негулевський Ігор Петрович",130,1,0.392450698276162,"політична партія слуга народу",NA,36,"M",0.0537253504429875
"Вадатурський Андрій Олексійович",130,0,0.338725347833175,"самовисування","партії блок петра порошенка",46,"M",0
"Чорноморов Артем Олегович",131,1,0.460043721723954,"політична партія слуга народу",NA,31,"M",0.0166035753909798
"Лівік Олександр Петрович",131,0,0.443440146332974,"самовисування","партії блок петра порошенка",49,"M",0
"Дирдін Максим Євгенович",132,1,0.616861988548105,"політична партія слуга народу",NA,37,"M",0.275098940334685
"Підберезняк Вадим Іванович",132,0,0.341763048213421,"самовисування","політичної партії народний фронт",47,"M",0
"Дмитрук Артем Геннадійович",133,1,0.793008371593585,"політична партія слуга народу",NA,26,"M",0.717499931827504
"Кириленко Павло Веніамінович",133,0,0.0755084397660813,"політична партія всеукраїнське обєднання свобода",NA,43,"M",0
"Чекіта Геннадій Леонідович",134,1,0.681832251604891,"самовисування","партії блок петра порошенка",53,"M",0.478171154609352
"Колєв Олег Вікторович",134,0,0.203661096995539,"політична партія слуга народу",NA,46,"M",0
"Леонов Олексій Олександрович",135,1,0.479028271678216,"політична партія слуга народу",NA,36,"M",0.0361070030356087
"Ківалов Сергій Васильович",135,0,0.442921268642607,"самовисування","політичної партії опозиційний блок у верховній раді україни восьмого скликання",65,"M",0
"Голубов Дмитро Іванович",136,1,0.638365392791037,"самовисування","партії блок петра порошенка",36,"M",0.312611080513918
"Горенюк Олександр Олександрович",136,0,0.325754312277119,"політична партія слуга народу",NA,28,"M",0
"Гончаренко Олексій Олексійович",137,1,0.448293758252222,"самовисування","партії блок петра порошенка",39,"M",0.190603771393887
"Клімов Леонід Михайлович",137,0,0.257689986858335,"самовисування","партія відродження",66,"M",0
"Фурсін Іван Геннадійович",138,1,0.642205007730974,"самовисування","воля народу",48,"M",0.319328500866803
