"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"ДементьєвДмитро Віталійович","народився 3 березня 1974 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, генеральний директор, ПП ""Баглійський завод металоконструкцій ""Сектор-Д"", безпартійний, проживає в місті Дніпродзержинськ Дніпропетровської області, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","14.10.2014звернення із заявою про відмову балотуватися","30"
"ДемошенкоСергій Валентинович","народився 25 березня 1968 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Народної Партії, проживає в місті Дніпродзержинськ Дніпропетровської області, судимість відсутня, самовисування.","Самовисування","","09.09.2014","","30"
"ДубінінОлександр Іванович","народився 16 травня 1959 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, ПАТ ""ДНІПРОАЗОТ"", безпартійний, проживає в селищі Сонячне Запорізького району Запорізької області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","30"
"ЗалевськийОлександр Юрійович","народився 12 липня 1974 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, виконуючий обов'язки начальника зміни ТЕЦ, ПАТ ""Дніпровський металургійний комбінат"", член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Дніпродзержинськ Дніпропетровської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","30"
"ЗарваницькийЮрій Богданович","народився 28 липня 1973 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, голова, ГО ""Право Народу"", безпартійний, проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","30"
"ЗахорольськийОлег Іванович","народився 18 березня 1963 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор з розвитку, підприємство ""ЗІП"", безпартійний, проживає в місті Дніпродзержинськ Дніпропетровської області, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","30"
"КоваленкоСергій Вікторович","народився 8 грудня 1966 року в місті Кіровськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""НОВА ПОЛІТИКА"", проживає в селі Єлизаветівка Петриківського району Дніпропетровської області, судимість відсутня, суб’єкт висування – Політична партія ""НОВА ПОЛІТИКА"".","Політична партія ""НОВА ПОЛІТИКА""","","22.09.2014","","30"
"ПлахотнікОлександр Олегович","народився 4 квiтня 1975 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, БФ ""Придніпровський продовольчий банк"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Дніпродзержинськ Дніпропетровської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","30"
"ТкаченкоСергій Іванович","народився 18 листопада 1981 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший секретар, Дніпродзержинський міський комітет Комуністичної партії України, член Комуністичної партії України, проживає в місті Дніпродзержинськ Дніпропетровської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","30"
"БалабатЛюбов Миколаївна","народилася 9 листопада 1951 року в селі Іванівка Велико-Михайлівського району Одеської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, адміністратор, ""ПП Сердюк"", безпартійнa, проживає в місті Кривий Ріг Дніпропетровської області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","31"
"ВовкЮрій Маріянович","народився 6 сiчня 1961 року в місті Кривий Ріг Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Екосплав"", безпартійний, проживає в місті Кривий Ріг Дніпропетровської області, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","31"
"ГабріадзеМерабі Рубенович","народився 15 сiчня 1963 року в селі Хресілі Цхалтубського району, Грузія, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Рубені"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Кривий Ріг Дніпропетровської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","31"
"КараманіцКостянтин Федорович","народився 23 лютого 1976 року в місті Кривий Ріг Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Кривий Ріг Дніпропетровської області, судимість відсутня, самовисування.","Самовисування","","23.09.2014","","31"
"МалашевськийАндрій Васильович","народився 26 вересня 1978 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, водій, ТОВ ""Інститут стратегічних досліджень"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","29.09.2014","13.10.2014звернення із заявою про відмову балотуватися","31"
