"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"ГрішоваСвітлана Василівна","народилася 29 червня 1963 року в селі Діброва Новошепелицького району Київської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта загальна середня, тимчасово не працює, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","106"
"ГуреляАгнесса Анатоліївна","народилася 9 вересня 1987 року в місті Вишгород Київської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Вишгород Київської області, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","106"
"ДаценкоВікторія Дмитрівна","народилася 5 травня 1970 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, менеджер, ПП ""АзовЕлектроСталь"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","106"
"ДаценкоОлег Валентинович","народився 28 сiчня 1991 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","106"
"ДухВолодимир Богданович","народився 16 червня 1993 року в місті Львові, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, охоронець, супермаркет ""АРСЕН"", безпартійний, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","16.09.2014","","106"
"ЄфіменкоЄвгеній Олегович","народився 10 сiчня 1986 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Києві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","106"
"ІвонінВалентин Роландович","народився 30 травня 1961 року в місті Лисичанськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Партії Сергія Тігіпка ""Сильна Україна"", проживає в місті Сєвєродонецьк Луганської області, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","","106"
"ІвонінМихайло Володимирович","народився 6 вересня 1968 року в місті Первомайськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, науково-дослідний та проектний інститут ""Водоочисні технології"", безпартійний, проживає в місті Сєвєродонецьк Луганської області, судимість відсутня, самовисування.","Самовисування","","19.09.2014","","106"
"КалюжнаОльга Миколаївна","народилася 18 квiтня 1986 року в місті Лисичанськ Луганської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, головний менеджер з продажу, ТОВ ""Лізинг Інвест"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","106"
"КулясРоман Анатолійович","народився 20 лютого 1986 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","106"
"КусоваРаїса Іванівна","народилася 18 сiчня 1960 року в селищі Калинівка Васильківського району Київської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта загальна середня, фізична особа – підприємець, безпартійнa, проживає в селі Путрівка Васильківського району Київської області, судимість відсутня, самовисування.","Самовисування","","24.09.2014","","106"
"ЛисакЯрослав Сергійович","народився 29 вересня 1984 року в селі Коржі Баришівського району Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, інженер з комп’ютерних систем, ТОВ ""Т.Б.М. – Україна"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","106"
"ЛіманськаІрина Борисівна","народилася 13 квiтня 1957 року в місті Потсдам, Німеччина, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, інженер з охорони праці, ДП ""Еко"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","106"
"ЛінськаОлена Петрівна","народилася 15 листопада 1979 року в місті Васильків Київської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Васильків Київської області, судимість відсутня, самовисування.","Самовисування","","24.09.2014","","106"
"ЛюбарІгор В’ячеславович","народився 24 червня 1965 року в місті Рубіжне Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, фізична особа – підприємець, безпартійний, проживає в місті Сєвєродонецьк Луганської області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","106"
"МачужакАнатолій Іванович","народився 19 листопада 1969 року в місті Львові, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, фізична особа – підприємець, безпартійний, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","16.09.2014","","106"
"МіллерЛев Ілліч","народився 5 грудня 1987 року в місті Львові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер, ТОВ ""Галінсервіс"", безпартійний, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","16.09.2014","","106"
"ОнікієнкоОльга Андріївна","народилася 28 грудня 1992 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","106"
"ПерепелицяЄвген Анатолійович","народився 16 червня 1979 року в місті Маріуполі Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","106"
"ПєнзовОлександр Федорович","народився 28 вересня 1956 року в місті Сєвєродонецьк Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, лікар-травматолог, КУ ""Сєвєродонецька міська багатопрофільна лікарня"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Сєвєродонецьк Луганської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","106"
"ПожарськийСергій Петрович","народився 22 сiчня 1973 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу приватизації житлового фонду, управління житлово-комунального господарства Голосіївської районної в місті Києві державної адміністрації, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","24.09.2014","","106"
"ПоловніковаАнастасія Дмитрівна","народилася 28 червня 1991 року в місті Львові, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","16.09.2014","","106"
"ПолуботькоАртем Михайлович","народився 2 грудня 1986 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фахівець із роботи з базами даних виробничого управління, ТОВ ""СПЕКЛ"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","106"
"ПоповКирило Миколайович","народився 3 вересня 1985 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, лікар-хірург, Київська міська лікарня № 3, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","19.09.2014","","106"
"ПрихідЄвгеній Григорович","народився 13 липня 1987 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","106"
"СамарськийСергій Вікторович","народився 4 вересня 1962 року в місті Сєвєродонецьк Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Юридична фірма ""Фагот"", безпартійний, проживає в місті Сєвєродонецьк Луганської області, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","106"
"СерпокриловСвятослав Віталійович","народився 6 серпня 1989 року в місті Луганськ, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний спеціаліст з режимно-секретної та мобілізаційної роботи, Державне агентство з інвестицій та управління національними проектами України, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","106"
"ЦаренкоМикола Павлович","народився 13 серпня 1991 року в селі Погреби Васильківського району Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, інженер, ПрАТ ""Датагруп"", безпартійний, проживає в місті Васильків Київської області, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","106"
"ШаховСергій Володимирович","народився 7 травня 1975 року в сел. Саяк міста Балхаш Джезказганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Шахов Сергій Володимирович"", безпартійний, проживає в місті Стаханов Луганської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","106"
"ШаховСергій Олександрович","народився 3 квiтня 1980 року в місті Полтаві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Президент, Інститут демократичного суспільства, фізична особа – підприємець, член Партії Наталії Королевської ""Україна – Вперед!"", проживає в місті Полтаві, судимість відсутня, самовисування.","Самовисування","","05.09.2014","01.10.2014звернення із заявою про відмову балотуватися","106"
"ЯнчукЗахар Леонідович","народився 23 сiчня 1991 року в селищі Івано-Франкове Яворівського району Львівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, водій-експедитор, ТОВ ""ЛПК"", безпартійний, проживає в смт Івано-Франкове Яворівського району Львівської області, судимість відсутня, самовисування.","Самовисування","","17.09.2014","","106"
"АхмедовРуслан Олексійович","народився 5 березня 1991 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, начальник відділу продажів, ТОВ ""Стартап Юкрейн"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","107"
"БердніковАндрій Валерійович","народився 2 сiчня 1974 року в місті Лабинськ Краснодарського краю, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Обухів Київської області, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","107"
"ВолинкоМикола Миколайович","народився 21 листопада 1954 року в селі Курахівка Селідовського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, голова, незалежна профспілка гірників Донбасу, безпартійний, проживає в місті Донецьку, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","107"
"ГальченкоМаксим Сергійович","народився 2 сiчня 1976 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора з міжнародного наукового співробітництва, Інститут обдарованої дитини Національної академії педагогічних наук України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","107"
"ГасимовРустам Вусалович","народився 26 червня 1984 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тренер-викладач, Київська ДЮСШ, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"ГоренштейнВікторія Марківна","народилася 30 липня 1976 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Агентство № 1"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","107"
"ДворенковСтаніслав Костянтинович","народився 27 жовтня 1990 року в місті Кривий Ріг Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"ДрапакВіталій Олександрович","народився 22 липня 1981 року в місті Миколаєві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ТОВ НВП ""Вольтен"", безпартійний, проживає в місті Обухів Київської області, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","107"
"ДунаєвСергій Володимирович","народився 19 серпня 1973 року в місті Лисичанськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, заступник голови Комітету Верховної Ради України з питань правової політики, безпартійний, проживає в місті Лисичанськ Луганської області, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","107"
"ЗінченкоЯніна Володимирівна","народилася 18 березня 1978 року в місті Полтаві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер з логістики, ТОВ ""Укрлогістикс"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"КазаковВіктор Ларіонович","народився 1 вересня 1954 року в селі Страчево Брянської області, Росія, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, старший інспектор загального відділу, ВАТ ""Старокиївський банк"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"КаленюкСергій Іванович","народився 30 листопада 1964 року в селі Романівка Попільнянського району Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, тимчасово не працює, безпартійний, проживає в місті Ірпінь Київської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","107"
"КацОлександр Абрамович","народився 4 липня 1974 року в місті Лисичанськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу постачання, КП ""Лисичанськтепломережа"", член Партії Сергія Тігіпка ""Сильна Україна"", проживає в місті Лисичанськ Луганської області, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","","107"
"КитаєваДіана Олегівна","народилася 2 серпня 1987 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","107"
"КичукМикола Миколайович","народився 24 жовтня 1970 року в місті Житомирі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","107"
"КишиченкоВячеслав Володимирович","народився 11 серпня 1970 року в селищі Комишуваха Попаснянського району Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, військовослужбовець, Другий батальйон спеціального призначення Національної гвардії України, безпартійний, проживає в смт Комишуваха Попаснянського району Луганської області, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".","Політична партія ""Об’єднання ""САМОПОМІЧ""","","25.09.2014","","107"
"КравчукЄвген Святославович","народився 27 вересня 1975 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник адвоката, адвокатське об’єднання ""Адвокатська фірма ""НАШЕ ПРАВО"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","107"
"КураєваКатерина Анатоліївна","народилася 30 листопада 1990 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Оціночна Консалтингова Компанія"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","107"
"КуцТетяна Федорівна","народилася 12 липня 1980 року в селі Васьківці Шумського району Тернопільської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, виконавчий директор, ТОВ ""Агентство №1"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","107"
"ЛежавськаЯна Геннадіївна","народилася 23 грудня 1989 року в місті Макіївка Донецької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, продавець-консультант, магазин жіночого одягу, безпартійнa, проживає в місті Ірпінь Київської області, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","107"
"ЛижникСніжана Михайлівна","народилася 26 жовтня 1987 року в місті Новоукраїнка Кіровоградської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта загальна середня, фармацевт, ТОВ ""Фармастор"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"ЛитвинАндрій Андрійович","народився 1 грудня 1982 року в місті Іркутськ, Російська Федерація, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","107"
"МарусійТетяна Вікторівна","народилася 4 липня 1978 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, керівник торговельного відділу, ТОВ ""Леруа Мерлен Україна"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"МельникНіна Миколаївна","народилася 28 червня 1951 року на хуторі Заря Курської області, Росія, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, бухгалтер, ПрАТ ""Фанери і плити"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"НемчукПавло Володимирович","народився 19 сiчня 1981 року в місті Москва, Російська Федерація, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, молодший науковий співробітник, Національний науковий центр ""Інститут аграрної економіки"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","107"
"ОдинокаОльга Віталіївна","народилася 15 лютого 1986 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, бухгалтер, ТОВ ""Магніфлекс"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"ПлахонінаВікторія Вікторівна","народилася 28 червня 1990 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер адміністративного відділу, ТОВ ""Укрбудконсалт"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"ПодкидачТетяна Борисівна","народилася 21 вересня 1983 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, заступник начальника відділу супроводу адміністративно-технічної документації в сфері будівництва, ТОВ ""Енергобудтехсервіс"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"ПолуботькоРоман Михайлович","народився 30 листопада 1982 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"ПоповаМарина Олександрівна","народилася 24 липня 1983 року в місті Мирний Архангельської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, спеціаліст з фінансової звітності, ТОВ ""ЕСТА холдинг"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"СлєсарєвІгор Едуардович","народився 28 жовтня 1985 року в місті Стаханов Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, адвокат, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Стаханов Луганської області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","107"
"СобчинськийЄвгеній Дмитрович","народився 8 травня 1987 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, консультант, ПрАТ ""Київстар"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","107"
"ТарановДмитро Валерійович","народився 9 серпня 1980 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"ТеросиповВячеслав Михайлович","народився 31 березня 1955 року в місті Лисичанську Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ПАТ ""Лисичанськвугілля"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Лисичанськ Луганської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","107"
"ТополовВіктор Семенович","народився 21 грудня 1945 року в смт Агапівка Челябинської області, Росія, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член політичної партії Єдиний Центр, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","107"
"ШаховСергій Вікторович","народився 16 серпня 1968 року в селі Нова Гребля Бородянського району Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, охоронець, ПП ""Промислова фінансова безпека"", безпартійний, проживає в селі Вабля Бородянського району Київської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","107"
"ШведовВіталій Миколайович","народився 7 сiчня 1976 року в місті Лисичанськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, громадська організація ""Фонд правової ініціативи"", безпартійний, проживає в місті Лисичанськ Луганської області, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","107"
"ШульгаЛюбов Стефанівна","народилася 28 сiчня 1980 року в селі Росава Миронівського району Київської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, тимчасово не працює, безпартійнa, проживає в селі Росава Миронівського району Київської області, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","107"
