deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread
Місіратов Марлен Едемович,29,0,0.0932968011462291,unaffiliated,NA,41,M,0
Голосний Максим Ігоревич,29,0,0.0648401624977257,unaffiliated,NA,38,M,-0.0284566386485035
Лічман Ганна Василівна,30,1,0.464315754792807,слуга народу,NA,41,F,0.0262607401680097
Дубінін Олександр Іванович,30,0,0.438055014624798,укроп,"член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",60,M,0
Біжко Андрій Олександрович,30,0,0.0387693354851727,unaffiliated,NA,57,M,-0.399285679139625
Павлов Костянтин Юрійович,31,1,0.533927857692149,опозиційний блок,політичної партії опозиційний блок у верховній раді україни восьмого скликання,46,M,0.133250786145063
Захарченко Володимир Васильович,31,0,0.400677071547086,слуга народу,NA,48,M,0
Олійник Вадим Васильович,31,0,0.0284010298199067,unaffiliated,NA,53,M,-0.372276041727179
Гальченко Андрій Володимирович,32,1,0.535524190108713,опозиційний блок,політичної партії опозиційний блок у верховній раді україни восьмого скликання,48,M,0.152373260931186
Криворучкіна Олена Володимирівна,32,0,0.383150929177528,слуга народу,NA,48,F,0
Бурман Людмила Володимирівна,32,0,0.044796697425939,unaffiliated,NA,49,F,-0.338354231751589
Корявченков Юрій Валерійович,33,1,0.860583889263843,слуга народу,NA,45,M,0.816738849362828
Колесник Микола Юрійович,33,0,0.0438450399010148,unaffiliated,NA,52,M,0
Ляденко Олег Анатолійович,33,0,0.035021730410423,unaffiliated,NA,49,M,-0.00882330949059179
Кришин Олег Юрійович,34,1,0.45857390615551,народний фронт,політичної партії народний фронт,52,M,0.00593789791102262
Чорний Дмитро Сергійович,34,0,0.452636008244487,слуга народу,NA,30,M,0
Кукса Юрій Анатолійович,34,0,0.0321251172972934,unaffiliated,NA,42,M,-0.420510890947194
Герман Денис Вадимович,35,1,0.507110972992088,слуга народу,NA,38,M,0.0567734655107978
Шипко Андрій Федорович,35,0,0.45033750748129,відродження,відродження,49,M,0
Сокол Юрій Олександрович,35,0,0.0182886669303782,європейська солідарність,NA,37,M,-0.432048840550912
Каптєлов Роман Володимирович,36,1,0.542064378078509,слуга народу,NA,39,M,0.138823237940527
Мартовицький Артур Володимирович,36,0,0.403241140137982,опозиційний блок,політичної партії опозиційний блок у верховній раді україни восьмого скликання,55,M,0
Іскендеров Іскендер Расул Огли,36,0,0.0202173646764989,unaffiliated,NA,58,M,-0.383023775461483
Шпенов Дмитро Юрійович,37,1,0.499673893543777,опозиційний блок,політичної партії опозиційний блок у верховній раді україни восьмого скликання,41,M,0.0510669858380902
Фартушний Ігор Іванович,37,0,0.448606907705687,слуга народу,NA,42,M,0
Гава Сергій Миколайович,37,0,0.020044280615402,unaffiliated,NA,50,M,-0.428562627090285
Нестеренко Вадим Григорович,38,1,0.365637972522573,БПП,БПП,49,M,0.0747926395870663
Бородін Владислав Валерійович,38,0,0.290845332935507,слуга народу,NA,48,M,0
Мельничук Сергій Петрович,38,0,0.243331260860429,ex-воля народу,left воля народу,47,M,-0.0475140720750776
Северин Сергій Сергійович,39,1,0.854367838450833,слуга народу,NA,39,M,0.783943379960981
Хорішко Володимир Дмитрович,39,0,0.0704244584898514,unaffiliated,NA,61,M,0
Антіпов Валентин Миколайович,39,0,0.0269741932319982,unaffiliated,NA,56,M,-0.0434502652578532
Трухін Олександр Миколайович,40,1,0.501549597865502,слуга народу,NA,33,M,0.0681965454840864
Дідич Валентин Володимирович,40,0,0.433353052381416,ex-БПП,left фракция БПП,62,M,0
Кисіль Сергій Васильович,40,0,0.0267370469290911,unaffiliated,NA,45,M,-0.406616005452325
Петренко Анастасія Леонідівна,45,1,0.424688645838258,опозиційна платформа за життя,NA,33,F,0.251137979003446
Кюрджиєв Георгій Тимофійович,45,0,0.173550666834812,слуга народу,NA,37,M,0
Бордунов Едуард Вікторович,45,0,0.17089418496427,unaffiliated,NA,49,M,-0.00265648187054174
Матейченко Костянтин Володимирович,46,1,0.893975199271814,народний фронт,політичної партії народний фронт,49,M,0.828767112112419
Христенко Федір Володимирович,46,0,0.0652080871593947,опозиційна платформа за життя,NA,36,M,0
Вощанов Родіон Ігорович,46,0,0.0247487076555157,слуга народу,NA,26,M,-0.040459379503879
Недава Олег Анатолійович,47,1,0.549399872266098,ex-БПП,left фракция БПП,50,M,0.118159813093721
Солод Юрій Васильович,47,0,0.431240059172377,опозиційна платформа за життя,політичної партії опозиційний блок у верховній раді україни восьмого скликання,47,M,0
Мащенко Ростислав Євгенович,47,0,0.00667993049570605,unaffiliated,NA,55,M,-0.424560128676671
Єфімов Максим Вікторович,48,1,0.908341487997148,БПП,БПП,45,M,0.871012641891225
Васілі Євген Ігорович,48,0,0.037328846105923,слуга народу,NA,39,M,0
Зубов Валентин Сергійович,48,0,0.0298197483510363,unaffiliated,NA,73,M,-0.00750909775488677
Гнатенко Валерій Сергійович,49,1,0.361490631138759,опозиційна платформа за життя,NA,52,M,0.115875084306478
Медведюк Василь Антонович,49,0,0.245615546832281,unaffiliated,NA,49,M,0
Сівохо Сергій Анатолійович,49,0,0.112221986524824,слуга народу,NA,50,M,-0.133393560307457
Сахарова Катерина Михайлівна,50,1,0.245781402869003,опозиційна платформа за життя,NA,65,F,0.0227374611597762
Аксьонов Андрій Анатолійович,50,0,0.223043941709226,unaffiliated,NA,48,M,0
Мотрій Олександр Володимирович,50,0,0.223043941709226,unaffiliated,NA,48,M,0
Савченко Надія Вікторівна,51,1,0.617563567821454,громадсько-політична платформа надії савченко,NA,38,F,0.342260973464798
Веселова Наталія Василівна,51,0,0.275302594356656,слуга народу,NA,44,F,0
Житінський Ігор Юрійович,51,0,0.0497606189309125,unaffiliated,NA,42,M,-0.225541975425744
Рибак Ігор Анатолійович,52,1,0.389535793777044,unaffiliated,NA,48,M,0.0532323928440676
Погодін Олег Васильович,52,0,0.336303400932976,опозиційна платформа за життя,NA,46,M,0
Тритяченко Олег Климентійович,52,0,0.0935080808085482,unaffiliated,NA,52,M,-0.242795320124428
Новинський Вадим Владиславович,57,1,0.471278311079014,опозиційний блок,політичної партії опозиційний блок у верховній раді україни восьмого скликання,56,M,0.101028211753407
Салгалов Вячеслав Сергійович,57,0,0.370250099325607,слуга народу,NA,39,M,0
Філімонов Владислав Євгенович,57,0,0.0663265084283278,опозиційна платформа за життя,NA,26,M,-0.303923590897279
Романюк Віктор Валерійович,58,1,0.508667821261151,слуга народу,NA,32,M,0.284426477050308
Онацький Валерій Анатолійович,58,0,0.224241344210843,unaffiliated,NA,45,M,0
Дьяконов Андрій Петрович,58,0,0.119227614143178,unaffiliated,NA,52,M,-0.105013730067665
Сажко Сергій Миколайович,59,1,0.84478035514876,опозиційний блок,політичної партії опозиційний блок у верховній раді україни восьмого скликання,50,M,0.749347232473103
Мороз Володимир Вікторович,59,0,0.0954331226756565,опозиційна платформа за життя,NA,52,M,0
Кирилов Сергій Дмитрович,59,0,0.0285369448431523,unaffiliated,NA,58,M,-0.0668961778325043
Лубінець Дмитро Валерійович,60,1,0.851438663513571,БПП,"Член депутатської фракції ПАРТІЇ ""БПП""",38,M,0.796292030003931
Марчевський Артем Павлович,60,0,0.0551466335096403,опозиційна платформа за життя,NA,31,M,0
Безуглий Олександр Миколайович,60,0,0.033852574139645,слуга народу,NA,40,M,-0.0212940593699953
Герасименко Ігор Леонідович,62,1,0.543358753656948,слуга народу,NA,35,M,0.152700959927209
