"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo","gender","age","job","city"
"Головатий Сергій Петрович","народився 29 травня 1954 року в місті Одесі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Політичної партії ""Сила і Честь"", проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","24.09.2014","","19","M",65,"пенсіонер","проживає в місті Києві"
"Гузь Ігор Володимирович","народився 11 сiчня 1982 року в місті Луцьку Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Волинська обласна рада, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","Політична партія ""НАРОДНИЙ ФРОНТ""","","23.09.2014","","19","M",37,"заступник голови","проживає в місті Луцьку"
"Гупало Юрій Володимирович","народився 29 сiчня 1973 року в селі Гуща Любомльського району Волинська області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, комерційний директор із зовнішньоекономічних зв’язків, ПП Гупало Л.В., безпартійний, проживає в селі Підгайці Луцького району Волинської області, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","19","M",46,"комерційний директор із зовнішньоекономічних зв’язків","проживає в селі Підгайці Луцького району Волинської області"
"Дзенік Сергій Іванович","народився 10 квiтня 1985 року в селі Бірки Любомльського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ФІНАНСОВА КОМПАНІЯ ""БАЗЕЛЬ-ФІНАНС"", безпартійний, проживає в місті Вишгород Київської області, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","19","M",34,"директор","проживає в місті Вишгород Київської області"
"Зінкевич Костянтин Миколайович","народився 8 листопада 1970 року в місті Володимир-Волинський Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Володимир-Волинський Волинської області, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","19","M",49,"фізична особа – підприємець","проживає в місті Володимир-Волинський Волинської області"
"Ковальчук Сергій Михайлович","народився 13 сiчня 1958 року в селі Замличі Локачинського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Володимир-Волинський Волинської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","14.10.2014звернення із заявою про відмову балотуватися","19","M",61,"фізична особа – підприємець","проживає в місті Володимир-Волинський Волинської області"
"Купира Зінаїда Степанівна","народилася 3 березня 1974 року в селі Гупали Любомльського району Волинської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, начальник юридичного відділу ТОВ ""ВМП"", безпартійнa, проживає в місті Нововолинськ Волинської області, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","19","F",45,"фізична особа – підприємець","проживає в місті Нововолинськ Волинської області"
"Мельник Євген Іванович","народився 14 травня 1956 року в місті Володимир-Волинський Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".","політична партія Всеукраїнське об’єднання ""Свобода""","","26.09.2014","","19","M",63,"народний депутат України","проживає в місті Луцьку"
"Оніщук Андрій Юрійович","народився 22 лютого 1974 року в місті Ковель Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Володимир-Волинська районна рада, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Володимир-Волинський Волинської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","19","M",45,"голова","проживає в місті Володимир-Волинський Волинської області"
"Савюк Ганна Павлівна","народилася 17 вересня 1953 року в селі Михайлівка Червоноармійського району Рівненської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Комуністичної партії України, проживає в місті Володимир-Волинський Волинської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","19","F",66,"пенсіонер","проживає в місті Володимир-Волинський Волинської області"
"Скіпальський Олександр Олександрович","народився 12 березня 1945 року в селі Вижгів Любомльського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник голови, спостережна  рада групи компаній ""Ренесанс"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","19","M",74,"радник голови","проживає в місті Києві"
"Юнак Микола Петрович","народився 3 квiтня 1975 року в селищі Локачі Локачинського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Захід Трейд"", безпартійний, проживає в місті Володимир-Волинський Волинської області, судимість відсутня, самовисування.","Самовисування","","19.09.2014","","19","M",44,"директор","проживає в місті Володимир-Волинський Волинської області"
"Ярема Віктор Романович","народився 19 квiтня 1971 року в селі Жовтневе міста Нововолинськ Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, комерційний директор, ПП Ярема М.М., член Радикальної Партії Олега Ляшка, проживає в місті Нововолинськ Волинської області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","19","M",48,"комерційний директор","проживає в місті Нововолинськ Волинської області"
"Бондар Володимир Налькович","народився 16 жовтня 1968 року в місті Луцьку Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ТОВ ""Енергосервісна компанія ""Луцькі комунальні системи"", безпартійний, проживає в місті Луцьку, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","20","M",51,"заступник директора","проживає в місті Луцьку"
"Вдовенко Володимир Васильович","народився 19 квiтня 1960 року в селі Чаруків Луцького району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Луцьку, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","20","M",59,"фізична особа – підприємець","проживає в місті Луцьку"
"Воронко Ігор Васильович","народився 16 квiтня 1969 року в місті Рівному, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, проходить військову службу за призовом під час мобілізації, безпартійний, проживає в селі Зміїнець Луцького району Волинської області, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","20","M",50,"проходить військову службу за призовом під час мобілізації","проживає в селі Зміїнець Луцького району Волинської області"
"Карпюк Роман Петрович","народився 31 сiчня 1964 року в селі  Шклінь-I Горохівського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, ректор, Академія рекреаційних технологій і права, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","20","M",55,"ректор","проживає в місті Луцьку"
"Красуля Володимир Анатолійович","народився 18 жовтня 1975 року в селі Кульчин Турійського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Волинська обласна громадська організація ""Волинські патріоти"", безпартійний, проживає в селі Кульчин Турійського району Волинської області, судимість відсутня, самовисування.","Самовисування","","19.09.2014","","20","M",44,"голова","проживає в селі Кульчин Турійського району Волинської області"
"Мартиняк Сергій Васильович","народився 4 березня 1971 року в місті Луцьку Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, голова підкомітету з питань банківської діяльності Комітету Верховної Ради України з питань фінансів і банківської діяльності, безпартійний, проживає в селі Гаразджа Луцького району Волинської області, судимість відсутня, самовисування.","Самовисування","","08.09.2014","","20","M",48,"народний депутат України","проживає в селі Гаразджа Луцького району Волинської області"
