"District","9.К-сть виборців, які взяли участь у голосуванні","Богомолець","Бойко","Гриненко","Гриценко","Добкін","Клименко","Коновалюк","Кузьмін","Куйбіда","Ляшко","Маломуж","Порошенко","Рабінович","Саранов","Симоненко","Тимошенко","Тігіпко","Тягнибок","Цушко","Шкіряк","Ярош"
11,1525,27,2,2,86,9,0,7,0,0,66,1,1091,20,1,15,127,29,11,0,0,14
11,1667,24,0,4,97,4,0,1,1,0,47,1,1223,15,0,22,149,41,13,1,0,9
11,1487,11,1,4,69,6,0,1,1,0,43,3,1164,10,0,4,126,11,13,1,0,4
11,1531,17,0,4,60,7,0,2,0,0,55,1,1169,15,0,3,145,26,6,0,0,13
11,1361,13,0,0,76,3,0,0,0,0,44,2,1053,9,0,7,111,13,13,1,0,6
11,1489,18,0,6,72,1,0,0,0,1,60,2,1148,10,0,1,133,21,8,0,0,1
11,1484,18,0,5,71,2,0,3,0,0,44,3,1165,18,1,2,117,16,8,0,0,6
11,1089,10,0,3,53,3,0,1,1,1,45,1,809,5,0,8,113,21,6,0,0,6
11,825,3,0,0,34,0,0,2,0,0,29,1,639,13,0,2,80,7,7,0,0,7
11,1447,24,0,2,62,5,0,1,0,1,56,1,1107,16,0,8,109,20,16,1,0,7
11,1554,25,1,9,73,9,0,1,0,1,44,2,1155,28,0,4,130,34,28,0,0,5
11,1481,26,1,3,68,10,0,2,0,0,50,2,1081,24,0,20,134,29,8,0,0,15
11,1276,11,1,1,66,5,0,0,0,0,50,2,956,10,0,11,125,21,8,0,0,9
11,1327,19,0,3,88,4,0,3,1,0,35,1,1036,10,0,3,70,23,13,0,0,5
11,1184,7,2,5,66,3,0,0,0,1,39,2,892,8,2,7,91,28,11,0,0,9
11,1632,11,0,4,79,5,0,1,0,0,33,0,1241,9,0,10,156,27,30,0,0,9
11,1657,31,1,7,81,13,0,1,1,0,56,2,1240,11,0,10,147,28,17,0,0,4
11,1708,19,4,2,73,5,0,3,1,3,58,3,1290,17,0,17,132,31,12,1,0,18
11,1295,20,1,9,65,9,0,3,3,0,40,2,917,11,0,14,128,41,7,0,0,12
11,1585,22,2,3,71,14,0,2,0,0,61,3,1118,19,0,8,169,41,32,0,0,13
11,1491,44,0,4,80,5,0,0,0,1,215,0,975,6,0,7,73,19,22,0,0,32
11,1413,22,1,0,92,9,0,4,1,0,46,3,1012,23,0,19,93,51,19,0,0,9
11,1149,18,3,0,61,8,0,3,1,0,27,1,772,19,0,20,115,55,30,1,0,6
11,1568,25,1,4,69,7,0,3,3,1,50,2,1123,33,0,14,134,54,27,1,0,10
11,1354,24,0,1,73,22,1,6,1,0,37,0,960,24,0,21,105,50,12,0,0,6
11,1238,25,0,0,62,10,0,2,1,0,61,1,874,20,0,8,118,23,9,0,0,12
11,1399,24,2,1,74,9,1,2,3,0,54,1,1015,23,0,9,124,22,12,0,0,14
11,1609,14,0,2,86,1,0,3,0,0,68,0,1214,5,0,4,167,11,13,0,0,8
11,1156,14,0,5,53,3,0,0,0,0,43,0,883,13,0,2,117,8,7,0,0,2
11,899,10,0,2,24,2,0,0,0,2,137,1,640,5,0,0,49,10,7,0,0,9
11,1516,7,0,3,50,3,0,3,1,0,74,0,1142,12,1,4,173,18,18,0,0,1
11,1590,20,0,2,56,8,0,6,0,0,47,1,1236,19,0,15,132,20,11,0,0,6
11,1524,21,1,0,49,3,0,2,0,0,55,2,1154,21,0,14,140,34,9,0,1,8
