"oblast","TVO_pres","desc_pres","TVO_parl","desc_parl","age_2014","pop_change_2014","region_ideology"
"Закарпатська область",72,"Іршавський, Хустський райони, місто Хуст",71,"місто Хуст, Хустський район, частина Іршавського (виборчі дільниці № 210168 –210171, 210181 – 210183, 210185 – 210190, 210192 – 210195, 210198 – 210202), частина Тячівського (виборчі дільниці № 210479 –210481, 210504, 210516, 210522 – 210524, 210529, 210534, 210535, 210537, 210538) районів",36.7,2.1,"grey"
"Закарпатська область",73,"Рахівський, Тячівський райони",72,"Рахівський район, частина Тячівського району (виборчі дільниці № 210474 – 210478, 210482 – 210503, 210505 – 210515, 210517 – 210521, 210525 – 210528, 210530 – 210533, 210536, 210539 – 210547)",36.7,2.1,"grey"
"Закарпатська область",74,"Берегівський, Виноградівський райони, місто Берегове",73,"місто Берегове, Виноградівський район, частина Берегівського (виборчі дільниці № 210001, 210002, 210006 – 210011, 210014, 210016, 210018, 210020, 210022 – 210028, 210033, 210034, 210036), частина Іршавського (виборчі дільниці № 210184, 210191, 210196, 210197, 210213 – 210222) районів",36.7,2.1,"grey"
"Запорізька область",75,"Жовтневий, Комунарський райони в місті Запоріжжі",74,"Комунарський район, частина Жовтневого району міста Запоріжжя (виборчі дільниці № 230811, 230814, 230820 – 230832, 230834 – 230836)",41.6,-5.6,"grey"
"Запорізька область",76,"Заводський, Ленінський райони в місті Запоріжжі",75,"Заводський, Ленінський райони міста Запоріжжя",41.6,-5.6,"grey"
"Запорізька область",77,"Орджонікідзевський, Хортицький райони в місті Запоріжжі",76,"Орджонікідзевський, Хортицький райони міста Запоріжжя",41.6,-5.6,"grey"
"Запорізька область",78,"Шевченківський район у місті Запоріжжі",77,"Шевченківський район, частина Жовтневого району міста Запоріжжя (виборчі дільниці № 230809, 230810, 230812, 230813, 230815 –230819)",41.6,-5.6,"grey"
"Запорізька область",79,"Бердянський, Куйбишевський, Розівський, Чернігівський райони, місто Бердянськ",78,"місто Бердянськ з населеними пунктами Бердянської міської ради, Бердянський, Куйбишевський, Розівський, Чернігівський райони",41.6,-5.6,"grey"
"Запорізька область",80,"Василівський, Великобілозерський, Кам'янсько-Дніпровський, Оріхівський райони, місто Енергодар",79,"місто Енергодар, Василівський, Великобілозерський, Кам’янсько-Дніпровський райони, частина Оріхівського району (виборчі дільниці № 230376 – 230386, 230388 – 230392, 230394 – 230399, 230401 –230406, 230408 – 230414)",41.6,-5.6,"grey"
"Запорізька область",81,"Мелітопольський район, місто Мелітополь",80,"місто Мелітополь, Мелітопольський район",41.6,-5.6,"grey"
"Запорізька область",82,"Веселівський, Михайлівський, Приазовський, Приморський, Токмацький, Якимівський райони, місто Токмак",81,"місто Токмак, Веселівський, Михайлівський, Приазовський, Приморський, Токмацький, Якимівський райони",41.6,-5.6,"grey"
"Запорізька область",83,"Вільнянський, Гуляйпільський, Запорізький, Новомиколаївський, Пологівський райони",82,"Гуляйпільський, Вільнянський, Запорізький, Новомиколаївський, Пологівський райони, частина Оріхівського району (виборчі дільниці № 230387, 230393, 230400, 230407)",41.6,-5.6,"grey"
"Івано-Франківська область",84,"місто Івано-Франківськ (з населеними пунктами Івано-Франківської міської ради)",83,"частина міста Івано-Франківська (виборчі дільниці № 260855 – 260884, 260887 – 260907, 260911 – 260917, 260919 – 260943, 260946 – 260960, 261040)",38.7,0.3,"orange"
"Івано-Франківська область",86,"міста Бурштин, Калуш, Галицький, Калуський, Рогатинський райони",84,"місто Бурштин, частина міста Івано-Франківська (виборчі дільниці № 260885, 260886, 260908 – 260910, 260918, 260944, 260945, 261037), Тисменицький, Тлумацький райони, частина Галицького району (виборчі дільниці № 260087 – 260089, 260099 – 260105, 260110 – 260129, 260131, 260132, 260134 – 260139, 260141 – 260153, 260155 – 260162, 260164, 261038)",38.7,0.3,"orange"
"Івано-Франківська область",86,"міста Бурштин, Калуш, Галицький, Калуський, Рогатинський райони",85,"місто Калуш, Калуський, Рогатинський райони, частина Галицького району (виборчі дільниці № 260106 – 260109, 260130, 260133, 260140, 260154)",38.7,0.3,"orange"
"Івано-Франківська область",87,"Богородчанський, Долинський, Рожнятівський райони, місто Болехів (з населеними пунктами Болехівської міської ради)",86,"місто Болехів з населеними пунктами Болехівської міської ради, Долинський, Рожнятівський райони, частина Богородчанського району (виборчі дільниці № 260008, 260009, 260014, 260015, 260020 – 260023, 260027, 260034 – 260039, 260045, 260046)",38.7,0.3,"orange"
"Івано-Франківська область",88,"Верховинський, Надвірнянський райони, місто Яремче (з населеними пунктами Яремчанської міської ради)",87,"місто Яремче з населеними пунктами Яремчанської міської ради, Надвірнянський район, частина Богородчанського (виборчі дільниці № 260001 – 260007, 260010 – 260013, 260016 – 260019, 260024 – 260026, 260028 – 260033, 260040 – 260044), частина Коломийського (виборчі дільниці № 260329 – 260338, 260408) районів",38.7,0.3,"orange"
"Івано-Франківська область",89,"Коломийський район, місто Коломия",88,"місто Коломия, Городенківський район, частина Коломийського району (виборчі дільниці № 260339 – 260407, 260409 – 260411)",38.7,0.3,"orange"
"Івано-Франківська область",90,"Косівський, Снятинський райони",89,"Верховинський, Косівський, Снятинський райони",38.7,0.3,"orange"
"Київська область",91,"Білоцерківський район, місто Біла Церква",90,"місто Біла Церква",40.4,2.2,"grey"
"Київська область",92,"місто Фастів, Макарівський, Фастівський райони",91,"місто Фастів, Макарівський, Фастівський райони, частина Києво-Святошинського (виборчі дільниці № 320562, 320578 – 320582, 320597, 320598, 320607 – 320609, 320612 – 320614, 320617, 320618, 320624, 320628 – 320640, 320642), частина Сквирського (виборчі дільниці № 320872 –320874, 320878, 320879, 320883 – 320885, 320887 – 320889, 320893, 320894, 320896 – 320900, 320902, 320903) районів",40.4,2.2,"grey"
"Київська область",93,"Володарський, Сквирський, Ставищенський, Таращанський, Тетіївський райони",92,"Білоцерківський, Володарський, Ставищенський, Таращанський, Тетіївський райони, частина Сквирського району (виборчі дільниці № 320862 – 320871, 320875 – 320877, 320880, 320881, 320886, 320890 – 320892, 320895, 320901, 320904 – 320909)",40.4,2.2,"grey"
"Київська область",94,"місто Ржищів, Богуславський, Кагарлицький, Миронівський, Рокитнянський райони",93,"міста Переяслав-Хмельницький, Ржищів, Богуславський, Кагарлицький, Миронівський, Рокитнянський райони",40.4,2.2,"grey"
"Київська область",95,"міста Васильків, Обухів, Васильківський, Обухівський райони",94,"міста Васильків, Обухів, Васильківський, Обухівський райони",40.4,2.2,"grey"
"Київська область",96,"міста Буча, Ірпінь, Києво-Святошинський район",95,"місто Ірпінь, частина Києво-Святошинського району (виборчі дільниці № 320559 – 320561, 320563 – 320577, 320583 – 320596, 320599 – 320606, 320610, 320611, 320615, 320616, 320619 – 320623, 320625 – 320627, 320641, 320643, 320644, 321402 – 321406)",40.4,2.2,"grey"
"Київська область",96,"міста Буча, Ірпінь, Києво-Святошинський район",96,"міста Буча, Славутич, Бородянський, Вишгородський, Іванківський, Поліський райони",40.4,2.2,"grey"
"Київська область",98,"міста Березань, Бровари, Славутич, Баришівський, Броварський райони",97,"міста Березань, Бровари, Баришівський район, частина Броварського району (виборчі дільниці № 320226 – 320250, 320253 – 320272, 320276, 320277)",40.4,2.2,"grey"
"Київська область",99,"міста Бориспіль, Переяслав-Хмельницький, Бориспільський, Згурівський, Переяслав-Хмельницький, Яготинський райони",98,"місто Бориспіль, Бориспільський, Згурівський, Переяслав-Хмельницький, Яготинський райони, частина Броварського району (виборчі дільниці № 320251, 320252, 320273 – 320275)",40.4,2.2,"grey"
"Кіровоградська область",100,"місто Кіровоград",99,"частина Кіровського (виборчі дільниці № 350814 – 350869, 350874, 350875, 350882 – 350890), частина Ленінського (виборчі дільниці № 350894 – 350936) районів міста Кіровограда",41.5,-7.1,"grey"
"Кіровоградська область",101,"Бобринецький, Кіровоградський, Компаніївський, Маловисківський, Новоукраїнський, Устинівський райони",100,"частина Кіровського (виборчі дільниці № 350876 – 350881), частина Ленінського (виборчі дільниці № 350892, 350893) районів міста Кіровограда, Бобринецький, Вільшанський, Добровеличківський, Кіровоградський, Компаніївський, Новоукраїнський райони, смт Нове Кіровоградської міської ради (виборчі дільниці № 350870 – 350873, 350891)",41.5,-7.1,"grey"
"Кіровоградська область",102,"Вільшанський, Гайворонський, Голованівський, Добровеличківський, Новоархангельський, Ульяновський райони",101,"Гайворонський, Голованівський, Маловисківський, Новоархангельський, Новомиргородський, Ульяновський райони",41.5,-7.1,"grey"
"Кіровоградська область",103,"міста Знам'янка, Світловодськ, Знам'янський, Новомиргородський, Олександрівський, Онуфріївський, Світловодський райони",102,"міста Знам’янка, Світловодськ, Знам’янський, Новгородківський, Олександрівський, Онуфріївський, Світловодський райони",41.5,-7.1,"grey"
"Кіровоградська область",104,"місто Олександрія, Долинський, Новгородківський, Олександрійський, Петрівський райони",103,"місто Олександрія, Долинський, Олександрійський, Петрівський, Устинівський райони",41.5,-7.1,"grey"
"Луганська область",105,"Артемівський, Кам'янобрідський райони в місті Луганську",104,"Артемівський район, частина Кам’янобрідського району міста Луганська (виборчі дільниці № 441414 – 441418, 441433), частина Лутугинського району (виборчі дільниці № 440170 – 440178, 440186 – 440198, 440201 – 440203, 440206 – 440215)",42.4,NA,"blue"
"Луганська область",106,"Жовтневий район у місті Луганську",105,"Жовтневий район, частина Кам’янобрідського району міста Луганська (виборчі дільниці № 441419 – 441432)",42.4,NA,"blue"
"Луганська область",113,"міста Рубіжне, Сєвєродонецьк (з населеними пунктами Сєвєродонецької міської ради)",106,"місто Сєвєродонецьк, частина міста Стаханова (виборчі дільниці № 441212 – 441232, 441249 – 441251, 441258 – 441260, 441262), частина Попаснянського району (виборчі дільниці № 440393 – 440421, 440424)",42.4,NA,"blue"
"Луганська область",110,"Попаснянський район, міста Кіровськ (з населеними пунктами Кіровської міської ради), Лисичанськ (з населеними пунктами Лисичанської міської ради)",107,"місто Лисичанськ, частина міста Стаханова (виборчі дільниці № 441233 – 441248, 441252 – 441257), частина міста Первомайська (виборчі дільниці № 440975 – 440980, 440987, 440988), частина Попаснянського району (виборчі дільниці № 440381 – 440392, 440422, 440423)",42.4,NA,"blue"
"Луганська область",109,"Перевальський район, місто Красний Луч (з населеними пунктами Краснолуцької міської ради)",108,"місто Красний Луч, Перевальський район",42.4,NA,"blue"
"Луганська область",108,"Краснодонський район, місто Краснодон (з населеними пунктами Краснодонської міської ради), Ленінський район у місті Луганську",109,"місто Краснодон, Ленінський район міста Луганська, Краснодонський район",42.4,NA,"blue"
"Луганська область",107,"міста Алчевськ, Брянка (з населеними пунктами Брянківської міської ради)",110,"міста Алчевськ, Антрацит, частина Антрацитівського (виборчі дільниці № 440009 – 440013, 440015 – 440020, 440028), частина Лутугинського (виборчі дільниці № 440179 – 440185, 440199, 440200, 440204, 440205) районів",42.4,NA,"blue"
"Луганська область",112,"Свердловський район, міста Свердловськ (з населеними пунктами Свердловської міської ради), Ровеньки (з населеними пунктами Ровеньківської міської ради)",111,"міста Свердловськ, Ровеньки, частина Антрацитівського району (виборчі дільниці № 440001 – 440006, 440008, 440014, 440021 – 440027, 440029 – 440034)",42.4,NA,"blue"
"Луганська область",116,"міста Первомайськ (з населеними пунктами Первомайської міської ради), Стаханов (з населеними пунктами Стахановської міської ради)",112,"міста Рубіжне, Кіровськ, Брянка, частина міста Первомайська (виборчі дільниці № 440981 – 440986, 440989 – 441003, 441005 – 441015)",42.4,NA,"blue"
"Луганська область",114,"Біловодський, Марківський, Міловський, Новопсковський, Слов'яносербський, Станично-Луганський райони",113,"Білокуракинський, Кремінський, Новоайдарський, Сватівський, Старобільський, Троїцький райони",42.4,NA,"blue"
"Луганська область",115,"Білокуракінський, Кремінський, Новоайдарський, Сватівський, Старобільський, Троїцький райони",114,"Біловодський, Марківський, Міловський, Новопсковський, Слов’яносербський, Станично-Луганський райони",42.4,NA,"blue"
"Львівська область",117,"Галицький, Залізничний райони в місті Львові",115,"Сихівський район, частина Личаківського району міста Львова (виборчі дільниці № 461925 – 461928, 461931, 461935, 461936, 461940 – 461942, 461947 – 461950, 461954 – 461959, 461962 – 461975)",39.4,-0.3,"orange"
