"okrug","9.К-сть виборців, які взяли участь у голосуванні","БалашовГеннадій","БезсмертнийРоман","БогомолецьОльга","БогословськаІнна","БойкоЮрій","БондарВіктор","ВащенкоОлександр","ВілкулОлександр","ГаберМикола","ГриценкоАнатолій","ДанилюкОлександр","Дерев’янкоЮрій","ЖуравльовВасиль","ЗеленськийВолодимир","КаплінСергій","КармазінЮрій","КиваІлля","КорнацькийАркадій","КошулинськийРуслан","КривенкоВіктор","КупрійВіталій","ЛитвиненкоЮлія","ЛяшкоОлег","МорозОлександр","НаливайченкоВалентин","НасіровРоман","НовакАндрій","НосенкоСергій","ПетровВолодимир","ПорошенкоПетро","РиговановРуслан","СкоцикВіталій","СмешкоІгор","СоловйовОлександр","ТарутаСергій","ТимошенкоЮлія","ТимошенкоЮрій","ШевченкоІгор","ШевченкоОлександр"
161,89111,92,124,89,56,5183,65,35,1208,38,4852,15,64,31,24933,80,256,33,10,713,199,22,118,12582,64,178,10,22,13,63,9925,23,97,7291,31,77,18388,735,64,464
162,86273,73,79,124,83,10968,112,21,1709,27,4074,14,50,49,29036,122,162,25,12,467,18,14,109,8772,74,256,8,31,21,77,8194,35,55,5436,35,149,13951,628,48,285
163,111936,266,245,250,51,1912,29,21,548,34,25517,33,134,13,18751,33,50,19,34,5419,39,31,63,2081,42,595,4,57,17,98,29016,25,64,9943,28,42,14073,463,63,619
164,108759,114,167,222,75,3833,31,26,930,41,14034,28,104,18,16721,52,74,25,49,5845,47,34,150,12539,82,537,12,23,17,134,22832,43,67,4548,26,68,22006,976,148,780
165,116196,142,126,328,56,875,23,35,178,48,23221,32,65,20,14735,28,42,10,46,5376,142,27,110,7856,33,699,2,33,17,128,30436,52,57,5609,27,69,22199,961,134,888
166,107574,82,152,165,57,760,13,20,187,47,17255,29,71,18,13989,39,69,15,49,6531,251,28,123,9260,30,678,8,20,11,143,25733,42,54,3623,22,67,23972,1289,173,1186
167,92215,59,117,164,38,973,22,22,184,20,11680,24,38,32,14587,38,96,14,40,6157,197,27,118,8084,40,450,13,26,20,134,22758,30,45,3871,17,54,19065,1018,123,859
168,105851,294,188,182,181,23298,99,24,7866,16,4613,17,84,32,37806,67,48,33,8,499,24,19,78,1130,80,121,23,24,15,47,13758,20,49,5533,21,126,7841,245,46,144
169,105539,299,174,144,216,25059,110,24,7796,18,4322,14,64,44,38584,94,65,38,8,473,20,9,87,1333,71,118,25,19,18,51,12350,12,48,4972,21,95,7198,260,43,129
170,101677,225,125,145,187,26380,101,29,8208,12,3813,19,54,34,37387,79,70,44,9,381,17,15,64,1393,106,141,12,25,18,43,9650,6,30,4638,14,93,6576,233,34,120
171,98175,214,124,129,154,25940,92,21,8222,12,3423,15,58,32,35285,71,46,34,13,398,18,13,72,1379,55,124,18,30,21,32,9191,9,33,4484,26,72,6723,251,37,117
172,100156,206,107,137,162,27560,109,33,9436,15,3241,13,52,35,36372,62,63,28,10,366,18,21,59,1597,69,93,14,18,8,38,8204,12,40,4115,13,69,6151,269,40,116
173,93397,228,134,142,160,24057,102,24,7517,12,3244,11,46,21,34144,88,37,20,7,413,18,12,65,1550,58,104,14,24,11,41,8677,9,29,3790,9,87,6958,282,51,117
174,101741,250,143,168,163,25308,113,33,7827,18,3734,10,54,47,37391,88,48,31,6,442,15,19,86,1600,73,101,18,18,14,42,9656,14,36,4219,22,101,8011,364,48,139
175,91173,158,87,112,148,22983,110,23,4911,23,3082,17,56,34,36594,81,38,22,5,353,13,13,65,2774,65,113,10,13,16,35,7304,17,23,2790,21,59,7481,372,45,126
176,87765,95,47,92,115,30283,116,29,7603,25,1645,11,34,37,29184,59,52,26,4,208,14,14,60,3846,36,58,10,20,14,39,4977,24,30,1920,11,43,5600,269,37,131
177,87677,56,53,105,138,28141,159,39,5257,24,1626,12,20,43,30549,59,42,34,9,307,16,16,74,4842,59,91,5,19,13,40,5990,20,30,2672,13,102,5567,286,42,179
178,82798,106,70,101,148,26372,138,27,6114,39,1586,11,31,33,28405,56,96,28,7,243,19,12,91,4993,54,66,6,18,24,39,5096,28,27,1994,18,116,5253,264,56,160
179,92214,98,55,109,149,24200,115,30,5491,36,1922,24,23,46,34181,53,118,26,13,259,9,19,78,7200,76,75,4,16,18,31,5282,30,27,2820,9,77,7991,390,48,183
180,82517,72,59,97,121,19708,97,27,3156,21,2378,10,51,35,30637,70,97,24,11,264,11,11,97,6062,65,93,7,23,14,57,6305,25,21,2399,15,120,8794,454,34,166
181,94167,146,81,113,175,22907,127,32,9656,34,2822,15,37,45,35951,99,55,17,8,290,14,11,67,2668,50,110,19,20,14,40,6497,20,29,2869,8,60,7346,410,58,142
182,91312,154,132,180,128,12685,74,23,5585,20,4498,31,122,43,34447,55,36,21,18,590,30,11,61,2345,63,140,9,18,20,49,11824,13,55,6677,32,69,9166,403,55,292
183,90311,133,119,140,113,11779,55,30,4902,17,4156,25,81,53,34246,58,35,37,12,526,24,20,76,3699,72,159,12,14,13,73,11739,19,45,5696,33,121,9908,554,61,270
184,96294,126,90,142,126,14238,77,32,5229,34,3628,10,43,53,36296,66,100,43,11,643,22,11,135,7925,90,144,10,16,15,65,10380,33,64,4092,84,80,10009,637,74,379
185,96188,94,81,140,131,19489,111,47,5629,36,2797,12,62,67,34337,64,82,37,13,277,17,27,106,7849,88,110,15,17,12,88,10097,25,44,3412,134,111,8532,513,99,310
186,95286,93,100,142,125,15679,96,28,3493,33,3397,16,108,67,37116,64,71,35,16,529,13,17,98,6466,57,134,9,21,7,66,10009,26,53,3816,86,96,10911,717,77,314
187,95737,216,144,205,76,4978,158,10,1372,23,10224,26,135,29,27289,49,56,18,23,5360,42,27,47,2633,46,232,8,29,13,71,15395,24,74,10769,17,46,13860,563,62,378
