"place","pop_2012","pop_2013","pop_2014","district"
"м. Київ",2814258,2845023,2868702,"м. Київ"
"м.Севастополь",340559,342580,344853,"м. Київ"
"м. Інкерман",11921,11985,12028,"м. Київ"
"смт Кача",5173,5137,5137,"м. Київ"
"Автономна Республіка Крим",1963008,1965177,1967259,"Автономна Республіка Крим"
"м. Сімферополь",335582,337285,338319,"Автономна Республіка Крим"
"смт Аграрне",5986,6034,6093,"Автономна Республіка Крим"
"смт Аерофлотський",2296,2325,2359,"Автономна Республіка Крим"
"смт Гресівський",11214,11391,11509,"Автономна Республіка Крим"
"смт Комсомольське",4852,4869,4892,"Автономна Республіка Крим"
"м. Алушта",28642,28418,28295,"Автономна Республіка Крим"
"смт Партеніт",6070,6089,6086,"Автономна Республіка Крим"
"м. Армянськ",22468,22337,22286,"Автономна Республіка Крим"
"м. Джанкой",36458,36086,35693,"Автономна Республіка Крим"
"м. Євпаторія",106840,106877,107040,"Автономна Республіка Крим"
"смт Заозерне",4960,4996,5023,"Автономна Республіка Крим"
"смт Мирний",4203,4209,4210,"Автономна Республіка Крим"
"смт Новоозерне",7341,7383,7393,"Автономна Республіка Крим"
"м. Керч",145845,145265,144626,"Автономна Республіка Крим"
"м. Красноперекопськ",29944,29815,29672,"Автономна Республіка Крим"
"м. Саки",24038,23655,23391,"Автономна Республіка Крим"
"м. Судак",15368,15457,15532,"Автономна Республіка Крим"
"смт Новий Світ",1104,1100,1117,"Автономна Республіка Крим"
"м. Феодосія",69786,69461,69040,"Автономна Республіка Крим"
"смт Коктебель",2833,2863,2869,"Автономна Республіка Крим"
"смт Курортне",331,340,337,"Автономна Республіка Крим"
"смт Орджонікідзе",2669,2643,2650,"Автономна Республіка Крим"
"смт Приморський",14938,14938,14975,"Автономна Республіка Крим"
"смт Щебетовка",3498,3504,3601,"Автономна Республіка Крим"
"м. Ялта",78040,78115,78200,"Автономна Республіка Крим"
"м. Алупка",8497,8520,8528,"Автономна Республіка Крим"
"смт Берегове",494,487,489,"Автономна Республіка Крим"
"смт Виноградне",1367,1377,1406,"Автономна Республіка Крим"
"смт Відрадне",673,680,694,"Автономна Республіка Крим"
"смт Восход",451,452,456,"Автономна Республіка Крим"
"смт Гаспра",11300,11384,11384,"Автономна Республіка Крим"
"смт Голуба затока",438,448,443,"Автономна Республіка Крим"
"смт Гурзуф",9056,9117,9152,"Автономна Республіка Крим"
"смт Кацівелі",617,622,625,"Автономна Республіка Крим"
"смт Кореїз",6290,6304,6337,"Автономна Республіка Крим"
"смт Краснокам'янка",1023,1014,1021,"Автономна Республіка Крим"
"смт Курпати",417,417,415,"Автономна Республіка Крим"
"смт Лівадія",1638,1634,1636,"Автономна Республіка Крим"
"смт Масандра",8437,8571,8623,"Автономна Республіка Крим"
"смт Нікіта",2465,2466,2475,"Автономна Республіка Крим"
"смт Ореанда",887,902,921,"Автономна Республіка Крим"
"смт Паркове",498,490,500,"Автономна Республіка Крим"
"смт Понизівка",387,380,384,"Автономна Республіка Крим"
"смт Санаторне",496,490,490,"Автономна Республіка Крим"
"смт Симеїз",3914,3901,3919,"Автономна Республіка Крим"
"смт Совєтське",577,575,579,"Автономна Республіка Крим"
"смт Форос",1982,1994,1996,"Автономна Республіка Крим"
"Бахчисарайський район",90754,91054,91571,"Автономна Республіка Крим"
"м. Бахчисарай",26363,26482,26651,"Автономна Республіка Крим"
"смт Куйбишеве",2391,2407,2441,"Автономна Республіка Крим"
"смт Научний",807,783,780,"Автономна Республіка Крим"
"смт Поштове",3157,3194,3214,"Автономна Республіка Крим"
"Білогірський район",64081,64166,64413,"Автономна Республіка Крим"
"м. Білогірськ",18199,18220,18252,"Автономна Республіка Крим"
"смт Зуя",7085,7085,7156,"Автономна Республіка Крим"
"Джанкойський район",74426,74131,74020,"Автономна Республіка Крим"
"смт Азовське",3806,3798,3813,"Автономна Республіка Крим"
"смт Вільне",2063,2055,2059,"Автономна Республіка Крим"
"Кіровський район",53884,53961,53872,"Автономна Республіка Крим"
"м. Старий Крим",9485,9512,9478,"Автономна Республіка Крим"
"смт Кіровське",7064,7067,7069,"Автономна Республіка Крим"
"Красногвардійський район",90907,91120,91269,"Автономна Республіка Крим"
"смт Красногвардійське",10742,10766,10779,"Автономна Республіка Крим"
"смт Октябрське",11471,11572,11684,"Автономна Республіка Крим"
"Красноперекопський район",29615,29540,29518,"Автономна Республіка Крим"
"Ленінський район",63256,63041,62795,"Автономна Республіка Крим"
"м. Щолкіне",11194,11184,11169,"Автономна Республіка Крим"
"смт Леніне",7910,7881,7826,"Автономна Республіка Крим"
"смт Багерове",3919,3894,3908,"Автономна Республіка Крим"
"Нижньогірський район",50764,50567,50460,"Автономна Республіка Крим"
"смт Нижньогірський",9505,9460,9436,"Автономна Республіка Крим"
"Первомайський район",35651,35537,35426,"Автономна Республіка Крим"
"смт Первомайське",9008,9001,8964,"Автономна Республіка Крим"
"Роздольненський район",34422,34360,34253,"Автономна Республіка Крим"
"смт Роздольне",7326,7320,7291,"Автономна Республіка Крим"
"смт Новоселівське",3381,3415,3427,"Автономна Республіка Крим"
"Сакський район",77831,78025,78133,"Автономна Республіка Крим"
"смт Новофедорівка",6557,6558,6584,"Автономна Республіка Крим"
"Сімферопольський район",157170,158375,159751,"Автономна Республіка Крим"
"смт Гвардійське",12660,12711,12702,"Автономна Республіка Крим"
"смт Молодіжне",7174,7235,7261,"Автономна Республіка Крим"
"смт Миколаївка",2735,2761,2750,"Автономна Республіка Крим"
"Совєтський район",34230,34277,34370,"Автономна Республіка Крим"
"смт Совєтський",9957,9996,10069,"Автономна Республіка Крим"
"Чорноморський район",31971,32109,32118,"Автономна Республіка Крим"
"смт Чорноморське",11039,11098,11092,"Автономна Республіка Крим"
"Вінницька область",1634187,1627038,1618262,"Вінницька область"
"м. Вінниця",370814,371698,372116,"Вінницька область"
"м. Жмеринка",35452,35390,35354,"Вінницька область"
"м. Козятин",24319,24247,24180,"Вінницька область"
"смт Залізничне",994,1002,1004,"Вінницька область"
"м. Ладижин",22849,22961,22783,"Вінницька область"
"м. Могилів-Подільський",32250,32056,31832,"Вінницька область"
"м. Хмільник",28230,28209,28275,"Вінницька область"
"Барський район",54268,53937,53342,"Вінницька область"
"м. Бар",16461,16442,16380,"Вінницька область"
"смт Копайгород",1316,1318,1294,"Вінницька область"
"Бершадський район",62109,61506,60974,"Вінницька область"
"м. Бершадь",13162,13160,13098,"Вінницька область"
"Вінницький район",77064,78181,79068,"Вінницька область"
"смт Вороновиця",6522,6591,6636,"Вінницька область"
"смт Десна",1331,1333,1330,"Вінницька область"
"смт Стрижавка",8936,9046,9074,"Вінницька область"
"Гайсинський район",58843,58556,58247,"Вінницька область"
"м. Гайсин",25727,25855,25879,"Вінницька область"
"Жмеринський район",35960,35662,35287,"Вінницька область"
"смт Браїлів",4725,4750,4739,"Вінницька область"
"Іллінецький район",38490,38295,38048,"Вінницька область"
"м. Іллінці",11351,11366,11360,"Вінницька область"
"смт Дашів",3975,3943,3954,"Вінницька область"
"Калинівський район",59669,59403,59028,"Вінницька область"
"м. Калинівка",19284,19291,19226,"Вінницька область"
"Козятинський район",41274,40981,40689,"Вінницька область"
"смт Бродецьке",2300,2299,2298,"Вінницька область"
"смт Глухівці",3461,3443,3425,"Вінницька область"
"Крижопільський район",35114,34820,34431,"Вінницька область"
"смт Крижопіль",9015,9011,8945,"Вінницька область"
"Липовецький район",39603,39194,38736,"Вінницька область"
"м. Липовець",8870,8727,8691,"Вінницька область"
"смт Турбів",6553,6527,6484,"Вінницька область"
"Літинський район",36894,36539,36366,"Вінницька область"
"смт Літин",6760,6719,6766,"Вінницька область"
"Могилів-Подільський район",34443,34106,33696,"Вінницька область"
"смт Вендичани",3939,3909,3861,"Вінницька область"
"Мурованокуриловецький район",27111,26734,26356,"Вінницька область"
"смт Муровані Курилівці",6114,6039,5997,"Вінницька область"
"Немирівський район",51753,51261,50715,"Вінницька область"
"м. Немирів",11925,11900,11861,"Вінницька область"
"смт Брацлав",5631,5681,5635,"Вінницька область"
"смт Ситківці",2370,2366,2332,"Вінницька область"
"Оратівський район",22728,22356,22057,"Вінницька область"
"смт Оратів",2919,2882,2861,"Вінницька область"
"Піщанський район",21877,21667,21399,"Вінницька область"
"смт Піщанка",5336,5318,5282,"Вінницька область"
"смт Рудниця",1187,1173,1163,"Вінницька область"
"Погребищенський район",32003,31512,31144,"Вінницька область"
"м. Погребище",9970,9898,9814,"Вінницька область"
"Теплицький район",30120,29772,29312,"Вінницька область"
"смт Теплик",6460,6456,6415,"Вінницька область"
"Тиврівський район",43719,43486,43212,"Вінницька область"
"м. Гнівань",12546,12587,12577,"Вінницька область"
"смт Тиврів",4263,4252,4247,"Вінницька область"
"смт Сутиски",6190,6151,6168,"Вінницька область"
"Томашпільський район",34943,34627,34274,"Вінницька область"
"смт Томашпіль",5535,5513,5507,"Вінницька область"
"смт Вапнярка",7926,7893,7830,"Вінницька область"
"Тростянецький район",37232,36940,36582,"Вінницька область"
"смт Тростянець",7828,7840,7838,"Вінницька область"
"Тульчинський район",57683,57230,56929,"Вінницька область"
"м. Тульчин",15920,15849,15845,"Вінницька область"
"смт Кирнасівка",5309,5283,5269,"Вінницька область"
"смт Шпиків",3375,3355,3320,"Вінницька область"
"Хмільницький район",38433,38048,37588,"Вінницька область"
"Чернівецький район",23008,22721,22299,"Вінницька область"
"смт Чернівці",2923,2891,2867,"Вінницька область"
"Чечельницький район",22642,22385,22085,"Вінницька область"
"смт Чечельник",5187,5166,5147,"Вінницька область"
"Шаргородський район",58914,58556,58160,"Вінницька область"
"м. Шаргород",6960,6975,6981,"Вінницька область"
"Ямпільський район",41910,41530,41212,"Вінницька область"
"м. Ямпіль",11316,11300,11329,"Вінницька область"
"Волинська область",1038598,1039958,1041303,"Волинська область"
"м. Луцьк",213063,214727,216076,"Волинська область"
"м. Володимир-Волинський",38783,38870,38964,"Волинська область"
"м. Ковель",68648,68912,69032,"Волинська область"
"м. Нововолинськ",53179,53199,53298,"Волинська область"
"смт Жовтневе",4765,4748,4776,"Волинська область"
"Володимир-Волинський район",25692,25616,25614,"Волинська область"
"м. Устилуг",2204,2214,2218,"Волинська область"
"Горохівський район",53129,52805,52420,"Волинська область"
"м. Горохів",9119,9093,9172,"Волинська область"
"м. Берестечко",1734,1752,1757,"Волинська область"
"смт Мар'янівка",2803,2807,2824,"Волинська область"
"смт Сенкевичівка",1316,1307,1291,"Волинська область"
"Іваничівський район",32724,32585,32355,"Волинська область"
"смт Іваничі",6795,6810,6776,"Волинська область"
"Камінь-Каширський район",62864,63100,63396,"Волинська область"
"м. Камінь-Каширський",11905,12018,12190,"Волинська область"
"Ківерцівський район",63927,63908,63884,"Волинська область"
"м. Ківерці",14743,14611,14480,"Волинська область"
"смт Олика",3137,3133,3138,"Волинська область"
"смт Цумань",6273,6339,6371,"Волинська область"
"Ковельський район",40498,40496,40383,"Волинська область"
"смт Голоби",4099,4098,4104,"Волинська область"
"смт Люблинець",4474,4483,4504,"Волинська область"
"Локачинський район",22924,22743,22552,"Волинська область"
"смт Локачі",3941,3920,3888,"Волинська область"
"Луцький район",61006,61569,62100,"Волинська область"
"смт Рокині",1527,1537,1538,"Волинська область"
"смт Торчин",4497,4509,4541,"Волинська область"
"Любешівський район",35961,35981,36073,"Волинська область"
"смт Любешів",5688,5731,5774,"Волинська область"
"Любомльський район",39808,39757,39648,"Волинська область"
"м. Любомль",10178,10246,10274,"Волинська область"
"смт Головне",3036,3015,3006,"Волинська область"
"Маневицький район",55235,55073,54928,"Волинська область"
"смт Маневичі",10561,10582,10659,"Волинська область"
"смт Колки",4040,4048,4040,"Волинська область"
"Ратнівський район",51753,51877,52087,"Волинська область"
"смт Ратне",9608,9722,9843,"Волинська область"
"смт Заболоття",4301,4330,4372,"Волинська область"
"Рожищенський район",40251,39990,39792,"Волинська область"
"м. Рожище",13381,13327,13306,"Волинська область"
"смт Дубище",1911,1918,1928,"Волинська область"
"Старовижівський район",30874,30705,30593,"Волинська область"
"смт Стара Вижівка",5218,5231,5256,"Волинська область"
"Турійський район",26456,26309,26393,"Волинська область"
"смт Турійськ",5732,5754,5775,"Волинська область"
"смт Луків",3106,3101,3126,"Волинська область"
"Шацький район",17058,16988,16939,"Волинська область"
"смт Шацьк",5370,5343,5357,"Волинська область"
"Дніпропетровська область",3320299,3307795,3292431,"Дніпропетровська область"
"м. Дніпропетровськ",999577,997754,993094,"Дніпропетровська область"
"смт Авіаторське",2385,2403,2418,"Дніпропетровська область"
"м. Вільногірськ",23748,23764,23766,"Дніпропетровська область"
"м. Дніпродзержинськ",242646,241880,241475,"Дніпропетровська область"
"смт Карнаухівка",6588,6607,6665,"Дніпропетровська область"
"м. Жовті Води",47689,47509,47284,"Дніпропетровська область"
"м. Кривий Ріг",660203,656478,652137,"Дніпропетровська область"
"м. Марганець",48635,48546,48345,"Дніпропетровська область"
"смт Мар'ївка",339,346,372,"Дніпропетровська область"
"м. Нікополь",120000,118720,117857,"Дніпропетровська область"
"м. Новомосковськ",70640,70787,71299,"Дніпропетровська область"
"м. Орджонікідзе",41645,41374,41152,"Дніпропетровська область"
"смт Гірницьке",363,365,360,"Дніпропетровська область"
"смт Чортомлик",1363,1382,1375,"Дніпропетровська область"
"м. Павлоград",110470,110070,109739,"Дніпропетровська область"
"м. Першотравенськ",29085,29019,28994,"Дніпропетровська область"
"м. Синельникове",31553,31568,31576,"Дніпропетровська область"
"м. Тернівка",28981,28920,28853,"Дніпропетровська область"
"Апостолівський район",57447,57064,56803,"Дніпропетровська область"
"м. Апостолове",14480,14432,14348,"Дніпропетровська область"
"м. Зеленодольськ",14022,13947,13907,"Дніпропетровська область"
"Васильківський район",33684,33482,33220,"Дніпропетровська область"
"смт Васильківка",11905,11916,11958,"Дніпропетровська область"
"смт Письменне",1281,1268,1248,"Дніпропетровська область"
"смт Чаплине",3902,3935,3912,"Дніпропетровська область"
"Верхньодніпровський район",54267,53968,53724,"Дніпропетровська область"
"м. Верхньодніпровськ",16930,16885,16760,"Дніпропетровська область"
"м. Верхівцеве",10073,10033,10062,"Дніпропетровська область"
"смт Дніпровське",5679,5682,5677,"Дніпропетровська область"
"смт Новомиколаївка",4183,4187,4162,"Дніпропетровська область"
"Дніпропетровський район",83900,84308,84614,"Дніпропетровська область"
"м. Підгородне",19397,19498,19530,"Дніпропетровська область"
"смт Кіровське",9234,9290,9285,"Дніпропетровська область"
"смт Ювілейне",12696,12801,12947,"Дніпропетровська область"
"Криворізький район",44913,44971,44932,"Дніпропетровська область"
"смт Радушне",3789,3809,3813,"Дніпропетровська область"
"смт Христофорівка",1453,1450,1433,"Дніпропетровська область"
"Криничанський район",36350,36041,35727,"Дніпропетровська область"
"смт Кринички",4340,4302,4268,"Дніпропетровська область"
"смт Аули",4197,4177,4196,"Дніпропетровська область"
"смт Щорськ",2799,2771,2735,"Дніпропетровська область"
"Магдалинівський район",34889,34719,34314,"Дніпропетровська область"
"смт Магдалинівка",6510,6506,6449,"Дніпропетровська область"
"Межівський район",24865,24726,24405,"Дніпропетровська область"
"смт Межова",7537,7539,7520,"Дніпропетровська область"
"смт Демурине",1153,1144,1130,"Дніпропетровська область"
"Нікопольський район",42555,42189,41703,"Дніпропетровська область"
"смт Червоногригорівка",6701,6661,6600,"Дніпропетровська область"
"Новомосковський район",74558,74567,74722,"Дніпропетровська область"
"м. Перещепине",10268,10178,10138,"Дніпропетровська область"
"смт Гвардійське",6022,6058,6202,"Дніпропетровська область"
"смт Губиниха",5658,5656,5637,"Дніпропетровська область"
"смт Меліоративне",4296,4284,4267,"Дніпропетровська область"
"смт Черкаське",4205,4239,4258,"Дніпропетровська область"
"Павлоградський район",28690,28459,28188,"Дніпропетровська область"
"Петриківський район",25646,25715,25758,"Дніпропетровська область"
"смт Петриківка",4760,4741,4743,"Дніпропетровська область"
"смт Курилівка",2655,2641,2646,"Дніпропетровська область"
"смт Миколаївка",1285,1291,1281,"Дніпропетровська область"
"Петропавлівський район",28402,27892,27398,"Дніпропетровська область"
"смт Петропавлівка",7644,7553,7462,"Дніпропетровська область"
"смт Брагинівка",361,328,301,"Дніпропетровська область"
"Покровський район",36337,35967,35625,"Дніпропетровська область"
"смт Покровське",10343,10264,10187,"Дніпропетровська область"
"смт Просяна",5125,5102,5086,"Дніпропетровська область"
"П'ятихатський район",46272,45906,45456,"Дніпропетровська область"
"м. П'ятихатки",18994,18944,18886,"Дніпропетровська область"
"смт Вишневе",2370,2389,2378,"Дніпропетровська область"
"смт Лихівка",2053,2076,2045,"Дніпропетровська область"
"Синельниківський район",39073,38957,38771,"Дніпропетровська область"
"смт Іларіонове",8959,8992,9022,"Дніпропетровська область"
"смт Роздори",1783,1767,1776,"Дніпропетровська область"
"смт Сад",471,477,480,"Дніпропетровська область"
"смт Славгород",2318,2295,2284,"Дніпропетровська область"
"Солонянський район",39524,39315,39084,"Дніпропетровська область"
"смт Солоне",7598,7665,7641,"Дніпропетровська область"
"смт Новопокровка",1950,1933,1920,"Дніпропетровська область"
"Софіївський район",23109,22793,22505,"Дніпропетровська область"
"смт Софіївка",7189,7094,7002,"Дніпропетровська область"
"Томаківський район",25915,25839,25722,"Дніпропетровська область"
"смт Томаківка",7139,7132,7133,"Дніпропетровська область"
"Царичанський район",27690,27555,27399,"Дніпропетровська область"
"смт Царичанка",7646,7654,7610,"Дніпропетровська область"
"Широківський район",27988,27706,27594,"Дніпропетровська область"
"смт Широке",10543,10436,10412,"Дніпропетровська область"
"смт Миколаївка",27,3,NA,"Дніпропетровська область"
"Юр'ївський район",13830,13694,13545,"Дніпропетровська область"
"смт Юр'ївка",2319,2302,2260,"Дніпропетровська область"
"Донецька область",4403178,4375442,4343882,"Донецька область"
"м. Донецьк",955041,953217,949825,"Донецька область"
"м. Моспине",10741,10806,10745,"Донецька область"
"смт Горбачево-Михайлівка",928,922,919,"Донецька область"
"смт Ларине",2794,2775,2773,"Донецька область"
"м. Авдіївка",35257,35128,35090,"Донецька область"
"м. Артемівськ",77952,77620,77474,"Донецька область"
"м. Соледар",11799,11708,11560,"Донецька область"
"м. Часів Яр",14225,13999,13817,"Донецька область"
"смт Красна Гора",655,650,642,"Донецька область"
"м. Вугледар",15477,15357,15294,"Донецька область"
"м. Горлівка",258879,256714,254416,"Донецька область"
"смт Гольмівський",7104,6989,6981,"Донецька область"
"смт Зайцеве",3498,3459,3346,"Донецька область"
"смт Пантелеймонівка",7890,7878,7904,"Донецька область"
"м. Дебальцеве",26026,25774,25525,"Донецька область"
"м. Світлодарськ",12172,12164,12127,"Донецька область"
"смт Миронівський",8104,8045,8027,"Донецька область"
"м. Дзержинськ",35899,35296,34750,"Донецька область"
"м. Артемове",5647,5598,5567,"Донецька область"
"смт Кірове",10262,10209,10148,"Донецька область"
"смт Курдюмівка",917,893,865,"Донецька область"
"смт Ленінське",1612,1598,1588,"Донецька область"
"смт Неліпівка",1121,1104,1101,"Донецька область"
"смт Новгородське",10892,10850,10788,"Донецька область"
"смт Петрівка",1114,1117,1110,"Донецька область"
"смт Щербинівка",3635,3609,3585,"Донецька область"
"м. Димитров",49987,49646,49519,"Донецька область"
"м. Добропілля",31514,31196,30884,"Донецька область"
"м. Білицьке",8671,8691,8627,"Донецька область"
"м. Білозерське",16214,16101,15916,"Донецька область"
"смт Водянське",1572,1567,1564,"Донецька область"
"смт Новодонецьке",5895,5903,5886,"Донецька область"
"м. Докучаєвськ",23717,23733,23641,"Донецька область"
"м. Дружківка",60255,59863,59596,"Донецька область"
"смт Олексієво-Дружківка",7700,7704,7670,"Донецька область"
"смт Новогригорівка",388,384,380,"Донецька область"
"смт Новомиколаївка",98,100,97,"Донецька область"
"смт Райське",931,912,911,"Донецька область"
"м. Єнакієве",84187,82629,81054,"Донецька область"
"м. Вуглегірськ",8030,7868,7671,"Донецька область"
"м. Юнокомунарівськ",14375,14154,13945,"Донецька область"
"смт Булавинське",3185,3162,3141,"Донецька область"
"смт Дружне",680,676,679,"Донецька область"
"смт Карло-Марксове",9937,9852,9734,"Донецька область"
"смт Корсунь",2670,2659,2623,"Донецька область"
"смт Олександрівське",1631,1609,1574,"Донецька область"
"смт Оленівка",787,779,771,"Донецька область"
"смт Ольховатка",3159,3129,3095,"Донецька область"
"смт Прибережне",156,155,154,"Донецька область"
"м. Жданівка",12500,12352,12301,"Донецька область"
"смт Вільхівка",771,765,746,"Донецька область"
"м. Кіровське",28470,28291,28155,"Донецька область"
"м. Костянтинівка",78114,77066,76065,"Донецька область"
"м. Краматорськ",165469,164283,162811,"Донецька область"
"смт Біленьке",9485,9402,9407,"Донецька область"
"смт Комишуваха",491,488,490,"Донецька область"
"смт Красноторка",3001,2995,2975,"Донецька область"
"смт Малотаранівка",3682,3690,3709,"Донецька область"
"смт Олександрівка",419,419,416,"Донецька область"
"смт Софіївка",853,858,855,"Донецька область"
"смт Шабельківка",4420,4421,4412,"Донецька область"
"смт Ясна Поляна",2143,2159,2148,"Донецька область"
"смт Ясногірка",8312,8293,8273,"Донецька область"
"м. Красний Лиман",22730,22509,22409,"Донецька область"
"м. Красноармійськ",65325,64895,64533,"Донецька область"
"м. Родинське",10773,10698,10641,"Донецька область"
"смт Шевченко",1793,1786,1774,"Донецька область"
"м. Макіївка",356118,353918,351820,"Донецька область"
"смт Велике Оріхове",606,605,603,"Донецька область"
"смт Високе",481,474,463,"Донецька область"
"смт Вугляр",1098,1093,1086,"Донецька область"
"смт Грузько-Зорянське",1375,1367,1346,"Донецька область"
"смт Грузько-Ломівка",630,632,622,"Донецька область"
"смт Гусельське",457,461,459,"Донецька область"
"смт Землянки",1743,1731,1732,"Донецька область"
"смт Красний Октябр",924,917,912,"Донецька область"
"смт Кринична",4506,4503,4516,"Донецька область"
"смт Колосникове",610,609,602,"Донецька область"
"смт Лісне",135,137,136,"Донецька область"
"смт Маяк",1210,1202,1193,"Донецька область"
"смт Межове",1210,1211,1202,"Донецька область"
"смт Нижня Кринка",13927,13880,13820,"Донецька область"
"смт Пролетарське",3242,3220,3190,"Донецька область"
"смт Свердлове",1515,1516,1487,"Донецька область"
"смт Ясинівка",3703,3679,3647,"Донецька область"
"м. Маріуполь",464457,461810,458533,"Донецька область"
"смт Сартана",10762,10783,10779,"Донецька область"
"смт Старий Крим",6053,6047,6051,"Донецька область"
"смт Талаківка",4137,4130,4133,"Донецька область"
"м. Новогродівка",15560,15398,15247,"Донецька область"
"м. Селидове",24269,24145,23989,"Донецька область"
"м. Гірник",11762,11641,11510,"Донецька область"
"м.Українськ",12061,11994,11928,"Донецька область"
"смт Вишневе",260,260,260,"Донецька область"
"смт Гостре",684,675,660,"Донецька область"
"смт Комишівка",463,437,430,"Донецька область"
"смт Курахівка",3134,3060,3007,"Донецька область"
"смт Цукурине",1993,1989,1970,"Донецька область"
"м. Слов'янськ",117994,117445,116694,"Донецька область"
"м. Миколаївка",15780,15684,15559,"Донецька область"
"м. Святогірськ",4676,4654,4630,"Донецька область"
"м. Сніжне",49095,48485,48003,"Донецька область"
"смт Андріївка",2229,2215,2194,"Донецька область"
"смт Бражине",325,326,316,"Донецька область"
"смт Гірницьке",1177,1178,1170,"Донецька область"
"смт Залісне",2418,2417,2421,"Донецька область"
"смт Лиманчук",911,903,902,"Донецька область"
"смт Никифорове",379,368,368,"Донецька область"
"смт Первомайське",533,522,511,"Донецька область"
"смт Первомайський",2831,2837,2827,"Донецька область"
"смт Побєда",541,537,539,"Донецька область"
"смт Сєверне",10052,10034,9981,"Донецька область"
"м. Торез",58728,57998,56993,"Донецька область"
"смт Пелагіївка",17968,17985,18008,"Донецька область"
"смт Розсипне",5065,5079,5047,"Донецька область"
"м. Харцизьк",59763,59315,58641,"Донецька область"
"м. Зугрес",18586,18553,18474,"Донецька область"
"м. Іловайськ",16091,15949,15808,"Донецька область"
"смт Войкове",37,34,34,"Донецька область"
"смт Гірне",3425,3402,3389,"Донецька область"
"смт Зуївка",3252,3220,3165,"Донецька область"
"смт Миколаївка",153,147,125,"Донецька область"
"смт Покровка",170,167,168,"Донецька область"
"смт Троїцько-Харцизьк",1015,1002,960,"Донецька область"
"смт Шахтне",840,829,790,"Донецька область"
"смт Широке",819,790,760,"Донецька область"
"м. Шахтарськ",51161,51007,50468,"Донецька область"
"смт Контарне",1550,1500,1463,"Донецька область"
"смт Московське",682,654,645,"Донецька область"
"смт Сердите",1915,1934,1930,"Донецька область"
"смт Стіжківське",4068,4007,3991,"Донецька область"
"м. Ясинувата",35843,35836,35701,"Донецька область"
"Амвросіївський район",46081,45508,45039,"Донецька область"
"м. Амвросіївка",19021,18832,18682,"Донецька область"
"смт Войковський",1178,1152,1146,"Донецька область"
"смт Кутейникове",1734,1716,1673,"Донецька область"
"смт Новоамвросіївське",2239,2212,2190,"Донецька область"
"Артемівський район",45367,44759,44043,"Донецька область"
"м. Сіверськ",12252,12145,12036,"Донецька область"
"смт Луганське",2402,2323,2257,"Донецька область"
"Великоновосілківський район",41943,41364,40632,"Донецька область"
"смт Велика Новосілка",6194,6098,5992,"Донецька область"
"Волноваський район",84579,83930,83221,"Донецька область"
"м. Волноваха",23370,23305,23164,"Донецька область"
"смт Благодатне",1192,1178,1168,"Донецька область"
"смт Володимирівка",6710,6660,6606,"Донецька область"
"смт Донське",5053,5051,5044,"Донецька область"
"смт Комсомольський",440,420,389,"Донецька область"
"смт Новотроїцьке",7020,6978,6946,"Донецька область"
"смт Оленівка",4686,4651,4635,"Донецька область"
"смт Ольгинка",3256,3230,3211,"Донецька область"
"Володарський район",29472,29284,29164,"Донецька область"
"смт Володарське",8515,8453,8441,"Донецька область"
"Добропільський район",16980,16622,16273,"Донецька область"
"смт Святогорівка",1937,1906,1895,"Донецька область"
"Костянтинівський район",19256,19160,18881,"Донецька область"
"Красноармійський район",32439,32057,31459,"Донецька область"
"смт Гродівка",2615,2598,2574,"Донецька область"
"смт Новоекономічне",3049,3039,3000,"Донецька область"
"смт Удачне",1718,1719,1694,"Донецька область"
"Краснолиманський район",22136,21881,21573,"Донецька область"
"смт Дробишеве",3032,3002,2960,"Донецька область"
"смт Кіровськ",2656,2650,2642,"Донецька область"
"смт Новоселівка",1369,1363,1339,"Донецька область"
"смт Ямпіль",2144,2101,2079,"Донецька область"
"смт Ярова",2059,2018,1999,"Донецька область"
"Мар'їнський район",84571,84317,83838,"Донецька область"
"м. Мар'їнка",9944,9913,9829,"Донецька область"
"м. Красногорівка",15960,15937,15912,"Донецька область"
"м. Курахове",20142,20098,19950,"Донецька область"
"смт Іллінка",459,449,452,"Донецька область"
"смт Олександрівка",4083,4080,4060,"Донецька область"
"смт Старомихайлівка",5378,5411,5414,"Донецька область"
"Новоазовський район",36066,35737,35603,"Донецька область"
"м. Новоазовськ",11855,11760,11740,"Донецька область"
"смт Сєдове",2721,2691,2681,"Донецька область"
"Олександрівський район",19804,19570,19302,"Донецька область"
"смт Олександрівка",3726,3688,3672,"Донецька область"
"Першотравневий район",27325,27250,27066,"Донецька область"
"смт Мангуш",8338,8319,8275,"Донецька область"
"смт Ялта",5290,5278,5276,"Донецька область"
"Слов'янський район",34334,34115,33914,"Донецька область"
"смт Андріївка",925,888,858,"Донецька область"
"смт Билбасівка",6305,6260,6235,"Донецька область"
"смт Донецьке",650,640,639,"Донецька область"
"смт Райгородок",3592,3582,3573,"Донецька область"
"смт Черкаське",3518,3514,3470,"Донецька область"
"Старобешівський район",51068,50675,50336,"Донецька область"
"м. Комсомольське",11882,11763,11672,"Донецька область"
"смт Старобешеве",6342,6317,6293,"Донецька область"
"смт Новий Світ",9296,9225,9197,"Донецька область"
"Тельманівський район",29965,29550,29157,"Донецька область"
"смт Тельманове",4529,4504,4472,"Донецька область"
"смт Андріївка",2901,2839,2795,"Донецька область"
"смт Мирне",1854,1835,1804,"Донецька область"
