tvo,num_voters,num_stations,description
ТВО №39,133300,136,"Центр: смт ВасильківкаТВО включає: місто Синельникове; Васильківський, Межівський, Покровський, Синельниківський райони"
ТВО №40,148200,129,"Центр: смт КриничкиТВО включає: Дніпропетровський, Криничанський, Солонянський, Томаківський райони"
ТВО №41,154500,89,"Центр: місто Донецьк, Будьоннівський районТВО включає: Будьоннівський, Пролетарський райони в місті Донецьку"
ТВО №42,133800,77,"Центр: місто Донецьк, Ворошиловський районТВО включає: Ворошиловський, Калінінський райони в місті Донецьку"
ТВО №43,156200,99,"Центр: місто Донецьк, Куйбишевський районТВО включає: Куйбишевський, Ленінський райони в місті Донецьку"
ТВО №44,179900,102,"Центр: місто Донецьк, Кіровський районТВО включає: Кіровський, Петровський райони в місті Донецьку"
ТВО №45,173900,113,"Центр: місто Донецьк, Київський районТВО включає: Ясинуватський район; Київський район у місті Донецьку; міста Авдіївка, Ясинувата"
ТВО №46,161000,159,"Центр: місто АртемівськТВО включає: міста Артемівськ, Красний Лиман, Артемівський, Краснолиманський райони"
ТВО №47,151800,119,"Центр: місто Слов'янськТВО включає: Слов'янський, Олександрівський райони; місто Слов'янськ"
ТВО №48,160000,91,Центр: місто КраматорськТВО включає: місто Краматорськ
ТВО №49,165000,114,"Центр: місто ДобропілляТВО включає: Добропільський район; міста Димитров, Добропілля, Дружківка"
ТВО №50,174400,142,"Центр: місто КрасноармійськТВО включає: Костянтинівський, Красноармійський райони; міста Костянтинівка, Красноармійськ"
ТВО №51,151100,99,"Центр: місто Горлівка, Центрально-Міський районТВО включає: Микитівський, Центрально-Міський райони в місті Горлівці"
ТВО №52,168300,115,"Центр: місто Горлівка, Калінінський районТВО включає: Калінінський район у місті Горлівці; міста Дебальцеве, Дзержинськ"
ТВО №53,142600,97,"Центр: місто ЄнакієвеТВО включає: міста Єнакієве, Жданівка, Кіровське"
ТВО №54,139400,123,"Центр: місто ТорезТВО включає: Шахтарський район; міста Сніжне, Торез"
ТВО №55,141600,93,"Центр: місто ШахтарськТВО включає: міста Харцизьк, Шахтарськ"
ТВО №56,139700,101,"Центр: місто Макіївка, Гірницький районТВО включає: Гірницький, Совєтський райони в місті Макіївці"
ТВО №57,173000,116,"Центр: місто Макіївка, Кіровський  районТВО включає: Кіровський, Центрально-Міський, Червоногвардійський райони в місті Макіївці"
ТВО №58,179100,119,"Центр: місто Маріуполь, Орджонікідзевський районТВО включає: Іллічівський, Орджонікідзевський райони в місті Маріуполі"
ТВО №59,177500,120,"Центр: місто Маріуполь, Жовтневий районТВО включає: Жовтневий, Приморський райони в місті Маріуполі"
ТВО №60,161600,156,"Центр: місто Мар'їнкаТВО включає: Великоновосілківський, Мар'їнський райони; міста Новогродівка, Селидове"
ТВО №61,147600,125,"Центр: місто ВолновахаТВО включає: Волноваський, Володарський, Першотравневий райони; міста Вугледар, Докучаєвськ"
ТВО №62,135800,141,"Центр: селище міського типу СтаробешевеТВО включає: Амвросіївський, Новоазовський, Старобешівський, Тельманівський райони"
ТВО №63,210000,122,"Центр: місто Житомир, Корольовський районТВО включає: Богунський, Корольовський райони в місті Житомирі"
ТВО №64,166600,250,"Центр: місто БердичівТВО включає: Бердичівський, Любарський, Романівський, Чуднівський райони; місто Бердичів"
ТВО №65,168500,303,"Центр: місто КоростеньТВО включає: Коростенський, Лугинський, Овруцький, Олевський райони; місто Коростень"
ТВО №66,161400,280,"Центр: місто Новоград-ВолинськийТВО включає: Баранівський, Ємільчинський, Новоград-Волинський, Червоноармійський райони; місто Новоград-Волинський"
ТВО №67,157400,262,"Центр: місто МалинТВО включає: Володарсько-Волинський, Коростишівський, Малинський, Народицький, Радомишльський, Черняхівський райони; місто Малин"
ТВО №68,143800,238,"Центр: місто АндрушівкаТВО включає: Андрушівський, Брусилівський, Житомирський, Попільнянський, Ружинський райони"
ТВО №69,155600,125,"Центр: місто УжгородТВО включає: Ужгородський район; міста Ужгород, Чоп"
ТВО №70,141400,125,Центр: місто МукачевеТВО включає: Мукачівський район; місто Мукачеве
ТВО №71,143300,180,"Центр: місто СваляваТВО включає: Великоберезнянський, Воловецький, Міжгірський, Перечинський, Свалявський райони"
ТВО №72,168700,122,"Центр: місто ХустТВО включає: Іршавський, Хустський райони; місто Хуст"
ТВО №73,197100,111,"Центр: місто ТячівТВО включає: Рахівський, Тячівський райони"
ТВО №74,148500,113,"Центр: місто БереговеТВО включає: Берегівський, Виноградівський райони; місто Берегове"
ТВО №75,162300,80,"Центр: місто Запоріжжя, Комунарський районТВО включає: Жовтневий, Комунарський райони в місті Запоріжжі"
ТВО №76,162100,79,"Центр: місто Запоріжжя, Ленінський районТВО включає: Заводський, Ленінський райони в місті Запоріжжі"
ТВО №77,171000,89,"Центр: місто Запоріжжя, Орджонікідзевський районТВО включає: Орджонікідзевський, Хортицький райони в місті Запоріжжі"
ТВО №78,122700,64,"Центр: місто Запоріжжя, Шевченківський районТВО включає: Шевченківський район у місті Запоріжжі"
ТВО №79,165400,144,"Центр: місто БердянськТВО включає: Бердянський, Куйбишевський, Розівський, Чернігівський райони; місто Бердянськ"
ТВО №80,179900,151,"Центр: місто ВасилівкаТВО включає: Василівський, Великобілозерський, Кам'янсько-Дніпровський, Оріхівський райони; місто Енергодар"
ТВО №81,171900,112,Центр: місто МелітопольТВО включає: Мелітопольський район; місто Мелітополь
ТВО №82,171500,233,"Центр: місто ТокмакТВО включає: Веселівський, Михайлівський, Приазовський, Приморський, Токмацький, Якимівський райони; місто Токмак"
ТВО №83,162000,175,"Центр: місто ВільнянськТВО включає: Вільнянський, Гуляйпільський, Запорізький, Новомиколаївський, Пологівський райони"
ТВО №84,176700,104,Центр: місто Івано-ФранківськТВО включає: місто Івано-Франківськ (з населеними пунктами Івано-Франківської міської ради)
ТВО №85,156000,163,"Центр: місто ТлумачТВО включає: Городенківський, Тисменицький, Тлумацький райони"
ТВО №86,192400,237,"Центр: місто КалушТВО включає: місто Калуш, Галицький, Калуський, Рогатинський райони"
ТВО №87,182500,165,"Центр: місто ДолинаТВО включає: Богородчанський, Долинський, Рожнятівський райони; місто Болехів (з населеними пунктами Болехівської міської ради)"
ТВО №88,123800,116,"Центр: місто НадвірнаТВО включає: Верховинський, Надвірнянський райони; місто Яремче (з населеними пунктами Яремчанської міської ради)"
ТВО №89,128000,123,Центр: місто КоломияТВО включає: Коломийський район; місто Коломия
ТВО №90,124400,121,"Центр: місто СнятинТВО включає: Косівський, Снятинський райони"
ТВО №91,202700,128,Центр: місто Біла ЦеркваТВО включає: Білоцерківський район; місто Біла Церква
ТВО №92,109700,120,"Центр: місто ФастівТВО включає:  місто Фастів, Макарівський, Фастівський райони"
ТВО №93,124600,180,"Центр: смт ВолодаркаТВО включає: Володарський, Сквирський, Ставищенський, Таращанський, Тетіївський райони"
ТВО №94,122900,166,"Центр: місто МиронівкаТВО включає: місто Ржищів, Богуславський, Кагарлицький, Миронівський, Рокитнянський райони"
ТВО №95,148600,136,"Центр: місто ОбухівТВО включає: місто Васильків, Васильківський, Обухівський райони"
ТВО №96,199100,122,"Центр: село Чайки, Києво-Святошинський районТВО включає: міста Буча, Ірпінь, Києво-Святошинський район"
ТВО №97,138100,177,"Центр: місто ІванківТВО включає: Бородянський, Вишгородський, Іванківський, Поліський райони"
ТВО №98,203100,136,"Центр: місто БровариТВО включає: міста Березань, Бровари, Славутич; Баришівський, Броварський райони"
ТВО №99,193200,207,"Центр: місто БориспільТВО включає: міста Бориспіль, Переяслав-Хмельницький, Бориспільський, Згурівський, Переяслав-Хмельницький, Яготинський райони"
ТВО №100,194000,124,Центр: місто КіровоградТВО включає: місто  Кіровоград
ТВО №101,141200,227,"Центр: місто БобринецьТВО включає: Бобринецький, Кіровоградський, Компаніївський, Маловисківський, Новоукраїнський, Устинівський райони"
ТВО №102,134800,191,"Центр: смт ГолованівськТВО включає: Вільшанський, Гайворонський, Голованівський, Добровеличківський, Новоархангельський, Ульяновський райони"
ТВО №103,166000,213,"Центр: місто СвітловодськТВО включає: міста Знам'янка, Світловодськ, Знам'янський, Новомиргородський, Олександрівський, Онуфріївський, Світловодський райони"
ТВО №104,157900,195,"Центр: місто ОлександріяТВО включає: місто Олександрія, Долинський, Новгородківський, Олександрійський, Петрівський райони"
ТВО №105,154700,88,"Центр: місто Луганськ, Артемівський районТВО включає: Артемівський, Кам'янобрідський райони в місті Луганську"
ТВО №106,147300,85,"Центр: місто Луганськ, Жовтневий районТВО включає: Жовтневий район у місті Луганську"
ТВО №107,134700,86,"Центр: місто АлчевськТВО включає: міста Алчевськ, Брянка (з населеними пунктами Брянківської міської ради)"
ТВО №108,170300,155,Центр: місто КраснодонТВО включає: Краснодонський район; місто Краснодон (з населеними пунктами Краснодонської міської ради); Ленінський район у місті Луганську
ТВО №109,162700,139,Центр: місто Красний ЛучТВО включає: Перевальський район; місто Красний Луч (з населеними пунктами Краснолуцької міської ради)
ТВО №110,160200,108,"Центр: місто ЛисичанськТВО включає: Попаснянський район; міста Кіровськ (з населеними пунктами Кіровської міської ради), Лисичанськ (з населеними пунктами Лисичанської міської ради)"
ТВО №111,145400,131,"Центр: місто АнтрацитТВО включає: Антрацитівський, Лутугінський райони; місто Антрацит"
ТВО №112,159000,126,"Центр: місто СвердловськТВО включає: Свердловський район; міста Свердловськ (з населеними пунктами Свердловської міської ради), Ровеньки (з населеними пунктами Ровеньківської міської ради)"
ТВО №113,146500,75,"Центр: місто РубіжнеТВО включає: міста Рубіжне, Сєвєродонецьк (з населеними пунктами Сєвєродонецької міської ради)"
ТВО №114,154900,195,"Центр: смт БіловодськТВО включає: Біловодський, Марківський, Міловський, Новопсковський, Слов'яносербський, Станично-Луганський райони"
ТВО №115,161800,206,"Центр: місто СватовеТВО включає: Білокуракінський, Кремінський, Новоайдарський, Сватівський, Старобільський, Троїцький райони"
ТВО №116,139600,89,"Центр: місто СтахановТВО включає: міста Первомайськ (з населеними пунктами Первомайської міської ради), Стаханов (з населеними пунктами Стахановської міської ради)"
ТВО №117,157200,77,"Центр: місто Львів, Залізничний районТВО включає: Галицький, Залізничний райони в місті Львові"
ТВО №118,120200,46,"Центр: місто Львів, Сихівський районТВО включає: Сихівський район в місті Львові"
ТВО №119,113500,59,"Центр: місто Львів, Франківський районТВО включає: Франківський район у місті Львові"
ТВО №120,206700,106,"Центр: місто Львів, Личаківський районТВО включає: Личаківський, Шевченківський райони в місті Львові"
ТВО №121,172300,200,"Центр: місто СокальТВО включає: Радехівський, Сокальський райони;  місто Червоноград"
ТВО №122,126000,154,"Центр: місто ЖовкваТВО включає: Жовківський, Кам'янка-Бузький райони"
ТВО №123,176800,327,"Центр: місто ЗолочівТВО включає: Бродівський, Буський, Золочівський, Перемишлянський райони"
ТВО №124,193800,275,"Центр: місто ЯворівТВО включає: Городоцький, Мостиський, Яворівський райони"
ТВО №125,156100,176,"Центр: місто ПустомитиТВО включає: Миколаївський, Пустомитівський райони; місто Новий Розділ"
ТВО №126,177800,294,"Центр: місто СамбірТВО включає: Самбірський, Старосамбірський, Турківський райони; місто Самбір"
ТВО №127,174400,148,"Центр: місто ДрогобичТВО включає: Дрогобицький район; міста Борислав, Дрогобич, Трускавець"
ТВО №128,189300,279,"Центр: місто СтрийТВО включає: міста Моршин, Стрий; Жидачівський, Сколівський, Стрийський райони"
ТВО №129,211600,110,"Центр: місто Миколаїв, Центральний районТВО включає: Заводський, Центральний райони в місті Миколаєві"
ТВО №130,172500,93,"Центр: місто Миколаїв, Ленінський районТВО включає: Корабельний, Ленінський райони в місті Миколаєві"
ТВО №131,160000,242,"Центр: місто БаштанкаТВО включає: Баштанський, Березнегуватський, Жовтневий, Казанківський, Новобузький, Снігурівський райони"
ТВО №132,120000,167,"Центр: місто МиколаївТВО включає: Березанський, Веселинівський, Миколаївський, Новоодеський, Очаківський райони; місто Очаків"
ТВО №133,138200,158,"Центр: місто ВознесенськТВО включає: Вознесенський, Врадіївський, Доманівський, Єланецький райони; міста Вознесенськ, Южноукраїнськ"
ТВО №134,134600,167,"Центр: місто ПервомайськТВО включає: Арбузинський, Братський, Кривоозерський, Первомайський райони; місто Первомайськ"
ТВО №135,181400,85,"Центр: місто Одеса, Київський районТВО включає: Київський район у місті Одесі"
ТВО №136,175100,80,"Центр: місто Одеса, Малиновський районТВО включає: Малиновський район у місті Одесі"
ТВО №137,177700,97,"Центр: місто Одеса, Приморський районТВО включає: Приморський район у місті Одесі"
ТВО №138,189600,91,"Центр: місто Одеса, Суворовський районТВО включає: Суворовський район у місті Одесі"
ТВО №139,129000,185,"Центр: місто КотовськТВО включає: місто Котовськ; Балтський, Кодимський, Котовський, Красноокнянський райони"
ТВО №140,134800,182,"Центр: місто АнаньївТВО включає: Ананьївський, Великомихайлівський, Любашівський, Миколаївський, Савранський, Фрунзівський, Ширяївський райони"
ТВО №141,165400,175,"Центр: смт ІванівкаТВО включає: місто Южне, Березівський, Іванівський, Комінтернівський, Роздільнянський райони"
ТВО №142,194800,126,"Центр: місто БіляївкаТВО включає: Біляївський, Овідіопольський райони; міста Іллічівськ, Теплодар"
ТВО №143,161600,160,"Центр: місто Білгород-ДністровськийТВО включає: Білгород-Дністровський, Саратський, Татарбунарський райони; місто Білгород-Дністровський (з населеними пунктами Білгород-Дністровської міської ради)"
ТВО №144,156700,133,"Центр: місто АрцизТВО включає: Арцизький, Болградський, Ренійський, Тарутинський райони"
ТВО №145,148900,139,"Центр: місто ІзмаїлТВО включає: Ізмаїльський, Кілійський райони; місто Ізмаїл"
ТВО №146,131000,76,"Центр: місто Полтава, Ленінський районТВО включає: Київський, Ленінський райони в місті Полтаві"
ТВО №147,160800,117,"Центр: місто Полтава, Октябрський районТВО включає: Полтавський район; Октябрський район у місті Полтаві"
ТВО №148,173800,98,"Центр: місто Кременчук, Автозаводський районТВО включає: Автозаводський, Крюківський райони в місті Кременчук"
ТВО №149,141700,214,"Центр: місто ЛубниТВО включає: Лубенський, Оржицький, Семенівський, Хорольський райони; місто Лубни"
ТВО №150,162700,213,"Центр: місто МиргородТВО включає: Великобагачанський, Диканський, Зіньківський, Котелевський, Миргородський, Шишацький райони; місто Миргород"
ТВО №151,136900,142,"Центр: місто ГлобинеТВО включає: Глобинський, Козельщинський, Кременчуцький райони; місто Комсомольськ"
ТВО №152,157400,231,"Центр: місто КарлівкаТВО включає: Карлівський, Кобеляцький, Машівський, Новосанжарський, Решетилівський,  Чутівський райони"
ТВО №153,142600,205,"Центр: місто ЛохвицяТВО включає: Гадяцький, Гребінківський, Лохвицький, Пирятинський, Чорнухинський райони"
ТВО №154,184500,107,Центр: місто РівнеТВО включає: місто Рівне
ТВО №155,158100,221,"Центр: смт ГощаТВО включає: Гощанський, Корецький, Острозький, Рівненський райони; місто Острог"
ТВО №156,181000,266,"Центр: місто ДубноТВО включає: Демидівський, Дубенський, Здолбунівський, Млинівський, Радивилівський райони; місто Дубно"
ТВО №157,171000,213,"Центр: місто ДубровицяТВО включає: Володимирецький, Дубровицький, Зарічненський, Рокитнівський райони; місто Кузнецовськ"
ТВО №158,166500,201,"Центр: місто СарниТВО включає: Березнівський, Костопільський, Сарненський райони"
ТВО №159,233900,129,"Центр: місто Суми, Зарічний районТВО включає: Зарічний, Ковпаківський райони в місті Сумах"
ТВО №160,128700,161,"Центр: місто СумиТВО включає: Білопільський, Лебединський, Сумський райони; місто Лебедин"
ТВО №161,164300,183,"Центр: місто ШосткаТВО включає: Глухівський, Середино-Будський, Шосткинський, Ямпільський райони; міста Глухів, Шостка"
ТВО №162,149400,177,"Центр: місто КонотопТВО включає: Конотопський, Кролевецький, Путивльський райони; місто Конотоп"
ТВО №163,136600,212,"Центр: місто РомниТВО включає: Буринський, Липоводолинський, Недригайлівський, Роменський райони; місто Ромни"
ТВО №164,133600,171,"Центр: місто ОхтиркаТВО включає: Великописарівський, Краснопільський, Охтирський, Тростянецький райони; місто Охтирка"
ТВО №165,179600,87,Центр: місто ТернопільТВО включає: місто Тернопіль
ТВО №166,188800,321,"Центр: місто ЗбаражТВО включає: Збаразький, Кременецький, Лановецький, Підволочиський, Шумський райони"
ТВО №167,164600,285,"Центр: місто ЗборівТВО включає: Бережанський, Зборівський, Козівський, Підгаєцький, Тернопільський райони"
ТВО №168,178700,270,"Центр: місто ТеребовляТВО включає: Бучацький, Гусятинський, Монастириський, Теребовлянський райони"
ТВО №169,157000,210,"Центр: місто ЧортківТВО включає: Борщівський, Заліщицький, Чортківський райони"
ТВО №170,165200,87,"Центр: місто Харків, Дзержинський районТВО включає: Дзержинський район у місті Харкові"
ТВО №171,145800,85,"Центр: місто Харків, Київський районТВО включає: Київський район у місті Харкові"
ТВО №172,225000,117,"Центр: місто Харків, Московський районТВО включає: Московський район у місті Харкові"
ТВО №173,182700,98,"Центр: місто Харків, Фрунзенський районТВО включає: Ленінський, Фрунзенський райони в місті Харкові"
ТВО №174,119400,45,"Центр: місто Харків, Орджонікідзевський районТВО включає: Орджонікідзевський район у місті Харкові"
ТВО №175,114100,63,"Центр: місто Харків, Комінтернівський районТВО включає: Комінтернівський район у місті Харкові"
ТВО №176,165500,96,"Центр: місто Харків, Червонозаводський районТВО включає: Жовтневий, Червонозаводський райони в місті Харкові"
ТВО №177,163900,166,"Центр: місто ДергачіТВО включає: Богодухівський, Дергачівський, Золочівський, Краснокутський райони"
ТВО №178,151200,161,"Центр: місто ЧугуївТВО включає: Великобурлуцький, Вовчанський, Дворічанський, Печенізький, Чугуївський райони; місто Чугуїв"
ТВО №179,161300,168,"Центр: місто Куп'янськТВО включає: Борівський, Ізюмський, Куп'янський, Шевченківський райони; міста Ізюм, Куп'янськ"
ТВО №180,152100,139,"Центр: місто БалакліяТВО включає: Балаклійський, Барвінківський, Зміївський райони"
ТВО №181,155000,172,"Центр: місто ЛозоваТВО включає: Близнюківський, Лозівський, Первомайський, Сахновщинський райони; міста Лозова, Первомайський"
ТВО №182,129100,165,"Центр: місто КрасноградТВО включає: Валківський, Зачепилівський, Кегичівський, Коломацький, Красноградський, Нововодолазький райони"
ТВО №183,173900,119,"Центр: смт Пісочин, Харківський районТВО включає: Харківський район; місто Люботин"
ТВО №184,154000,90,"Центр: місто Херсон, Комсомольський районТВО включає: Білозерський район; Комсомольський район у місті Херсоні (з населеними пунктами Комсомольської районної в місті Херсоні ради)"
ТВО №185,182000,102,"Центр: місто Херсон, Дніпровський район, Суворовський районТВО включає: Дніпровський, Суворовський райони в місті Херсоні (з населеними пунктами Дніпровської та Суворовської районних у місті Херсоні рад)"
ТВО №186,149300,162,"Центр: місто Нова КаховкаТВО включає: Бериславський, Великоолександрівський, Високопільський, Нововоронцовський райони; місто Нова Каховка (з населеними пунктами Новокаховської міської ради)"
ТВО №187,161000,146,"Центр: місто ЦюрупинськТВО включає: Голопристанський, Каланчацький, Скадовський, Цюрупинський райони"
ТВО №188,113100,132,"Центр: місто КаховкаТВО включає: Великолепетиський, Верхньорогачицький, Горностаївський, Каховський, Нижньосірогозький, райони; місто Каховка"
ТВО №189,120900,146,"Центр: смт НовотроїцькеТВО включає: Генічеський, Іванівський, Новотроїцький, Чаплинський райони"
ТВО №190,196600,104,Центр: місто ХмельницькийТВО включає: місто Хмельницький
ТВО №191,128700,277,"Центр: смт ТеофіпольТВО включає: Білогірський, Волочиський, Ізяславський, Теофіпольський райони"
ТВО №192,140900,293,"Центр: місто ДеражняТВО включає: Деражнянський, Летичівський, Старосинявський, Хмельницький, Ярмолинецький райони"
ТВО №193,168200,225,"Центр: місто Кам'янець-ПодільськийТВО включає: місто Кам'янець-Подільський; Кам'янець-Подільський, Чемеровецький райони"
ТВО №194,141900,243,"Центр: місто ДунаївціТВО включає: Віньковецький, Городоцький, Дунаєвецький, Новоушицький райони"
ТВО №195,146700,186,"Центр: місто СлавутаТВО включає: міста Нетішин, Славута, Шепетівка; Славутський, Шепетівський райони"
ТВО №196,135700,233,"Центр: місто СтарокостянтинівТВО включає: місто Старокостянтинів; Красилівський, Полонський, Старокостянтинівський райони"
ТВО №197,183700,102,"Центр: місто Черкаси, Придніпровський районТВО включає: Черкаський район, Придніпровський район у місті Черкасах"
ТВО №198,119800,69,"Центр: місто Черкаси, Соснівський районТВО включає: Соснівський район у місті Черкасах"
ТВО №199,129400,173,"Центр: місто ГородищеТВО включає: Городищенський, Корсунь-Шевченківський, Лисянський, Шполянський райони"
ТВО №200,166900,241,"Центр: місто ЗолотоношаТВО включає: Драбівський, Золотоніський, Канівський, Чорнобаївський райони; міста Золотоноша, Канів"
ТВО №201,134900,136,"Центр: місто СмілаТВО включає: місто Сміла, Кам'янський, Смілянський, Чигиринський райони"
ТВО №202,165500,216,"Центр: місто ТальнеТВО включає: місто Ватутіне, Жашківський, Звенигородський, Катеринопільський, Маньківський, Тальнівський райони"
ТВО №203,160200,169,"Центр: місто УманьТВО включає: місто Умань, Монастирищенський, Уманський, Христинівський райони"
ТВО №204,183200,111,Центр: місто ЧернівціТВО включає: місто Чернівці
ТВО №205,192800,173,"Центр: місто СторожинецьТВО включає:  Сторожинецький, Вижницький, Кіцманський, Путильський райони"
ТВО №206,145300,109,"Центр: місто НовоселицяТВО включає: Герцаївський, Глибоцький, Новоселицький райони"
ТВО №207,176200,154,"Центр: місто ХотинТВО включає: місто Новодністровськ, Хотинський, Заставнівський, Сокирянський, Кельменецький райони"
ТВО №208,225600,116,"Центр: місто Чернігів, Новозаводський районТВО включає: Деснянський, Новозаводський райони в місті Чернігові"
ТВО №209,119900,213,"Центр: смт РіпкиТВО включає: Городнянський, Ріпкинський, Чернігівський, Щорський райони"
ТВО №210,118900,172,"Центр: смт КозелецьТВО включає: Бобровицький, Козелецький, Куликівський, Носівський райони"
ТВО №211,156200,171,"Центр: місто НіжинТВО включає: місто Ніжин, Бахмацький, Борзнянський, Ніжинський райони"
ТВО №212,147600,206,"Центр: місто ПрилукиТВО включає: місто Прилуки, Варвинський, Ічнянський, Прилуцький, Срібнянський, Талалаївський райони"
ТВО №213,135300,223,"Центр: смт СосницяТВО включає: Коропський, Корюківський, Менський, Новгород-Сіверський, Семенівський, Сосницький райони"
ТВО №214,165500,78,"Центр: місто Київ, Голосіївський районТВО включає: Голосіївський район у місті Києві"
ТВО №215,261700,109,"Центр: місто Київ, Дарницький районТВО включає: Дарницький район  у місті Києві"
ТВО №216,281300,124,"Центр: місто Київ, Деснянський районТВО включає:  Деснянський район  у місті Києві"
ТВО №217,269100,128,"Центр: місто Київ, Дніпровський районТВО включає: Дніпровський район  у місті Києві"
