"District","9.К-сть виборців, які взяли участь у голосуванні","Богомолець","Бойко","Гриненко","Гриценко","Добкін","Клименко","Коновалюк","Кузьмін","Куйбіда","Ляшко","Маломуж","Порошенко","Рабінович","Саранов","Симоненко","Тимошенко","Тігіпко","Тягнибок","Цушко","Шкіряк","Ярош"
145,60486,1750,198,227,1660,3132,70,478,199,38,1515,105,21030,4829,62,2638,8473,10941,502,296,27,269
146,82038,1969,152,325,5805,1395,20,444,88,32,7590,92,44083,2300,26,1089,9754,3926,1148,30,18,652
147,104111,2395,164,385,6902,1472,47,528,116,42,9952,131,57035,2594,32,1249,12587,4644,1535,55,27,862
148,110185,2266,529,367,5686,1885,40,477,92,53,5905,109,67576,2435,38,1867,11098,6219,1161,32,26,821
149,91488,1674,105,365,4847,952,95,177,63,54,10545,128,50118,1273,27,1354,14265,2958,1120,26,42,350
150,103160,1867,161,459,6391,1345,108,203,104,56,15466,145,51519,1870,38,1415,15748,3343,1253,50,37,445
151,85513,1655,185,270,3361,1473,68,398,92,69,7012,120,49574,1554,17,1466,10362,5371,847,30,40,404
152,94528,1574,160,381,4222,1346,122,277,57,50,12312,137,48025,1574,37,1226,16600,3572,1349,42,37,415
153,90725,1699,117,355,4870,649,68,166,53,64,12342,153,47661,1060,29,913,15858,2467,1003,29,22,322
154,135129,4152,130,534,9326,432,22,240,72,69,17785,122,78846,1389,26,910,13437,2994,2104,37,13,1477
155,114577,2326,123,433,4614,270,73,156,46,76,15053,144,68548,677,24,482,15977,1861,1724,23,52,760
156,132292,2295,117,658,7765,227,59,135,57,73,17569,145,74482,670,19,464,21486,1866,2288,27,40,796
157,119347,2227,178,404,4499,512,97,245,52,124,15055,188,57848,1129,38,1040,27027,4245,2275,45,50,699
158,113426,1927,115,425,4795,281,66,198,58,71,15911,132,61278,850,15,566,20847,1950,2054,21,92,570
159,155697,2229,152,397,9620,1761,32,449,98,71,11115,138,95872,1912,45,1425,20498,5441,1660,36,28,1129
160,78293,994,96,323,4171,1024,52,165,45,33,9148,108,42845,1107,22,962,13045,2361,600,33,24,353
161,84188,2046,213,484,4798,2973,85,588,89,51,5676,142,40126,3416,59,3436,9967,7196,628,54,35,489
162,84809,1534,118,313,5269,1903,81,269,79,36,7808,107,46018,2062,34,1474,11654,3656,817,30,41,433
163,89286,991,81,302,4107,880,67,155,54,28,10183,94,52743,654,18,776,14078,1898,1037,20,15,344
164,78372,1358,145,379,4547,2931,63,199,58,38,9366,123,38576,1231,33,1337,12604,3331,684,36,27,341
165,131359,2147,49,576,13253,226,11,99,36,28,11101,68,84741,583,16,312,12940,1089,1740,29,9,1550
166,136183,1726,119,1033,11217,330,202,84,28,38,16291,116,73698,403,22,319,24655,1389,2479,31,22,794
167,130207,1390,49,704,8766,56,32,30,9,133,11652,84,83842,154,3,133,18755,592,2423,12,14,653
168,137145,1319,56,858,8934,49,34,29,16,58,14647,81,83744,183,7,175,21931,672,2758,24,7,647
169,115193,1337,57,573,6851,76,60,29,18,30,12161,73,68182,284,8,221,20379,760,2785,11,5,603
170,84550,2082,184,371,3953,18481,43,380,111,69,3296,100,34224,2779,30,1541,6181,7578,606,37,22,1011
171,72704,1734,150,392,3511,16338,32,379,98,46,2784,82,28161,2638,28,1349,5277,6746,594,42,15,893
172,108852,2384,203,594,4953,29118,58,604,156,52,3515,113,39845,3805,51,2400,7933,9278,782,49,18,997
173,84752,1869,149,443,4009,22637,26,421,99,56,2612,104,31037,3164,23,1709,6294,7177,576,28,12,794
174,55038,1163,126,378,2721,17117,17,285,62,18,1594,43,17142,1987,18,1275,4467,4765,352,17,11,467
175,54706,1131,112,295,2602,16213,24,254,56,27,1652,67,18915,1992,12,1114,3973,4392,372,26,15,487
176,77441,1675,138,428,3515,21357,57,356,111,38,2557,84,28103,2833,23,1443,6182,5966,484,32,8,673
177,78924,1544,168,425,3049,21089,46,327,135,55,4056,105,29162,2240,34,1716,7251,5273,421,37,14,373
178,68575,1297,313,334,2038,23133,60,300,155,85,2304,137,18638,2146,39,2831,4464,7693,328,41,34,319
179,68239,1546,277,368,2642,14185,52,507,207,55,2758,126,22415,4963,51,3331,5335,6770,358,37,34,333
180,68799,1274,280,366,2917,19131,70,392,202,75,3104,100,22510,3185,37,2424,4359,5871,382,36,37,315
181,71607,1579,189,387,3065,18103,64,462,200,59,3289,125,23420,3005,40,3018,5647,6480,368,43,45,315
182,63978,1293,163,385,3137,12636,46,357,139,73,4119,115,24695,1984,36,1761,6599,4464,366,24,33,297
183,75682,1573,161,460,3644,21848,53,418,126,55,2976,101,26484,2815,33,1570,5089,5840,408,29,9,492
184,79503,1558,199,386,4924,1691,49,633,146,52,4194,109,41736,2530,37,1934,8967,7461,717,41,37,540
185,93165,1934,234,393,5807,2249,54,837,176,59,4146,150,48752,3258,60,2234,9465,9874,982,62,29,694
186,76837,1726,191,444,4327,2197,71,514,88,39,4943,132,36684,2547,53,2536,10431,7120,784,62,43,450
187,78335,1617,180,456,4770,1646,54,524,118,65,5449,131,38526,2243,47,2522,9679,7607,667,29,41,418
188,58387,1455,143,410,3463,1825,68,447,100,48,4146,121,26603,2733,54,2534,6898,5282,518,33,28,281
189,53105,1213,192,329,2901,2134,82,539,100,57,2922,90,21700,2051,59,3236,5038,7977,645,36,36,249
190,147957,2983,127,435,9165,817,16,357,74,55,16602,112,87733,1504,16,971,18906,3057,2553,34,11,1160
191,90192,1487,128,359,3432,505,48,117,45,39,11613,365,46738,552,23,651,19442,2027,1407,29,14,304
192,99402,1490,124,412,3953,618,58,103,49,50,11723,132,53640,738,27,947,20611,1818,1534,26,24,329
193,111479,1822,168,413,4562,459,60,169,45,46,12093,128,64444,960,29,778,19360,2302,1883,25,25,678
194,94042,1228,123,342,2893,857,46,94,38,84,12286,119,52253,670,25,690,17044,2230,1596,26,22,373
195,94535,2013,131,470,5090,478,49,162,53,72,11339,121,54579,1155,18,803,12964,1921,1447,26,22,529
196,91257,1502,94,480,5450,649,44,155,55,36,10509,101,50720,804,17,784,15234,1653,1597,29,15,328
197,111458,2240,135,421,9490,711,22,277,84,39,11199,140,64564,1476,17,877,13157,2935,1515,34,25,1005
198,74664,1632,112,247,6721,552,20,229,68,26,7142,92,43650,1128,23,738,7321,2370,1016,18,11,785
199,84536,1198,96,816,9941,301,47,100,45,49,11848,114,41468,969,9,607,13277,1421,1117,27,17,340
200,107779,1603,169,752,9684,531,41,185,69,83,14034,107,54894,1035,24,830,18561,2436,1366,27,23,508
201,83056,1555,99,470,8006,513,43,184,68,48,10969,106,42908,1237,24,780,11577,1967,1079,20,12,493
202,107088,1489,85,891,11319,386,34,94,59,47,15384,173,53126,1089,16,680,17783,1796,1350,21,14,397
203,105153,1476,116,428,5787,487,32,167,50,50,9470,149,67345,1101,22,767,13188,1828,1216,24,21,448
204,120219,2136,315,268,5056,740,16,310,87,53,9621,82,73694,2225,19,1217,16512,3881,1513,24,17,1225
205,122390,1337,203,371,3291,349,42,108,47,50,13567,139,65859,657,26,509,29860,1909,1941,43,29,480
206,79922,1365,968,194,1518,448,78,109,66,61,7148,164,45532,676,31,696,15035,3142,794,39,40,255
207,109227,1491,185,358,3614,348,46,132,61,50,15015,161,59830,1185,34,853,19964,2748,1206,41,21,406
208,145774,2989,210,580,12238,1873,33,602,118,86,16587,174,74976,2750,35,2209,19590,6583,1339,66,25,958
209,70875,1081,113,268,3610,1159,121,189,56,65,11221,106,28586,1233,20,1375,16372,3581,546,44,38,263
210,70980,758,105,227,2671,544,40,103,42,59,10388,83,35181,596,31,619,15767,2057,743,12,11,252
211,93115,1090,92,370,5421,754,40,143,49,62,18107,87,42123,1027,25,889,18514,2139,789,25,23,394
212,95533,1074,65,407,6234,791,55,114,68,32,18533,90,41290,1039,16,681,20716,2137,1035,25,18,314
213,81018,1236,108,341,4596,1362,107,180,50,80,17673,101,27584,1740,40,1494,17634,4501,787,50,30,238
214,109325,2358,207,260,8432,779,25,261,134,80,8211,180,68915,1553,30,809,9586,3270,1447,68,11,1636
215,182228,3709,290,393,12819,1050,39,403,154,98,11786,205,118781,2501,50,1059,17067,5743,2260,105,22,2215
216,186623,3834,258,467,12153,1259,58,567,175,90,12205,207,121583,2876,58,1306,17664,5755,2309,90,34,2135
217,171137,3606,243,461,11365,1274,62,464,173,91,10542,221,110426,3070,70,1493,16193,5532,1937,102,18,2043
218,145489,2978,228,342,10287,972,36,354,175,78,9127,206,93876,2313,82,1203,13550,4826,1878,78,17,1699
219,56703,1273,122,107,4099,549,16,166,104,29,3466,119,35119,1044,38,711,5191,2472,688,44,12,844
220,94148,1918,129,205,6734,573,20,224,94,47,5961,119,61017,1587,24,676,9075,2630,1152,38,16,1066
221,169759,3442,202,422,11738,1046,49,438,133,93,11239,188,109175,2508,59,1233,17054,5022,2057,65,15,1922
222,153279,3424,247,380,11145,1180,50,421,151,117,12068,196,95553,2675,47,1251,13018,5672,1871,80,27,2371
223,111321,2394,203,244,7908,917,35,314,139,60,6243,172,70193,1992,37,1088,11053,4076,1222,86,10,1608
