"","deputat","partia","perc_for","votes_for","tvo","oblast","year","tvo_pres","pres_candidate","pres_perc_for","pres_votes_for"
"97","Хижняков Володимир Федорович","Молодіжна партія України",1.13,749,5,"Автономна Республіка Крим",2012,5,NA,0,0
"98","Гамма Сергій Михайлович","Партія ""Об’єднані ліві і селяни""",0.99,653,5,"Автономна Республіка Крим",2012,5,NA,0,0
"99","Турченко Анатолій Анатолійович","Народна Партія",0.8,532,5,"Автономна Республіка Крим",2012,5,"Литвин",0.979892276743087,1057
"100","Муравленко Павло Борисович","Політична партія ""Народна ініціатива""",0.6,400,5,"Автономна Республіка Крим",2012,5,NA,0,0
"101","Лобарев Сергій Вікторович","Українська морська партія",0.57,376,5,"Автономна Республіка Крим",2012,5,NA,0,0
"102","Подорожний Микола Олександрович","Партія ""Віче""",0.54,358,5,"Автономна Республіка Крим",2012,5,NA,0,0
"103","Мінчев Костянтин Петрович","Політична партія ""Держава""",0.26,177,5,"Автономна Республіка Крим",2012,5,NA,0,0
"104","Льовочкіна Юлія Володимирівна","Партія регіонів",60.01,41762,6,"Автономна Республіка Крим",2012,6,"Янукович",61.564561536199,58607
"105","Жадов Юрій Дмитрович","Комуністична партія України",10.96,7633,6,"Автономна Республіка Крим",2012,6,"Симоненко",5.91411403840497,5630
"106","Чорний Петро Володимирович","політична партія Всеукраїнське об’єднання ""Батьківщина""",8.68,6041,6,"Автономна Республіка Крим",2012,6,"Тимошенко",12.2211017269633,11634
"107","Кулак Костянтин Васильович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.24,2952,6,"Автономна Республіка Крим",2012,6,NA,0,0
"108","Шувайников Сергій Іванович","Політична партія ""Руська Єдність""",4.11,2863,6,"Автономна Республіка Крим",2012,6,NA,0,0
"109","Самадінов Алмір Шевкетович","самовисування",2.12,1479,6,"Автономна Республіка Крим",2012,6,NA,0,0
"110","Антілогов Віктор Миколайович","самовисування",1.4,978,6,"Автономна Республіка Крим",2012,6,NA,0,0
"111","Мокренюк Сергій Миколайович","Народна Партія",1.1,772,6,"Автономна Республіка Крим",2012,6,"Литвин",1.02105130467667,972
"112","Вербов Андрій Олександрович","Політична партія ""НОВА ПОЛІТИКА""",1.02,710,6,"Автономна Республіка Крим",2012,6,NA,0,0
"113","Букін Денис Олександрович","Партія ""Віче""",1.01,706,6,"Автономна Республіка Крим",2012,6,NA,0,0
"114","Татарінов Юрій Анатолійович","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",1,700,6,"Автономна Республіка Крим",2012,6,NA,0,0
"115","Гончаренко Андрій Андрійович","Українська партія ""Зелена планета""",0.78,546,6,"Автономна Республіка Крим",2012,6,NA,0,0
"116","Банников Олександр Геннадійович","Партія Зелених України",0.77,540,6,"Автономна Республіка Крим",2012,6,NA,0,0
"117","Купчишина Діна Леонідівна","Партія ""Об’єднані ліві і селяни""",0.62,436,6,"Автономна Республіка Крим",2012,6,NA,0,0
