"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Декларація","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"СідєльніковаГалина Анатоліївна","народилася 25 квiтня 1962 року в місті Лисичанськ Луганської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, КП ""Сєвєродонецькархпроект"", член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Сєвєродонецьк Луганської області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","106"
"СкороходовВіталій Володимирович","народився 10 серпня 1959 року в місті Тернополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Політичної партії ""Велика Україна"", проживає в місті Березне Рівненської області, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","15.10.2012звернення із заявою про відмову балотуватися","106"
"ФурманЮрій Анатолійович","народився 11 червня 1962 року в місті Рудний Кустанайської області, Казахстан, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, заступник директора, КП ""Відродження"", безпартійний, проживає в місті Стаханов Луганської області, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","106"
"ХітькоІрина Сергіївна","народилася 10 вересня 1987 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""Партія українського народу"", проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","11.08.2012","","106"
"ШаховСергій Олександрович","народився 3 квiтня 1980 року в місті Полтаві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, президент, Інститут демократичного суспільства, член Партії Наталії Королевської - ""Україна - Вперед!"", проживає в місті Полтаві, судимість відсутня, суб’єкт висування – Партія Наталії Королевської - ""Україна - Вперед!"".","Партія Наталії Королевської ""Україна – Вперед!""","","","11.08.2012","","106"
"ШевчукВячеслав Анатолійович","народився 9 грудня 1971 року в місті Сєвєродонецьк Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Сєвєродонецький міський центр зайнятості, безпартійний, проживає в місті Сєвєродонецьк Луганської області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","","16.08.2012","","106"
"АннушакСергій Васильович","народився 28 лютого 1967 року в селі Малорязанцеве Попаснянського району Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, голова, громадська організація ""Відродження рідного краю"", член Народної Партії, проживає в місті Лисичанськ Луганської області, судимість відсутня, суб’єкт висування – Народна Партія.","Народна Партія","","","03.08.2012","","107"
"ГладкихВалентин Валерійович","народився 16 сiчня 1976 року в місті Стаханов Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний консультант, відділ по зв‘язках з комітетами управління по роботі з Комітетами Верховної Ради України та взаємодії з депутатськими фракціями і групами Апарату Верховної Ради України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","107"
"ДунаєвСергій Володимирович","народився 19 серпня 1973 року в місті Лисичанськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Лисичанський міський голова, член Партії регіонів, проживає в місті Лисичанськ Луганської області, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","107"
"ЄфіменкоЄвгеній Олегович","народився 10 сiчня 1986 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","107"
"КримцевВіктор Олексійович","народився 2 вересня 1984 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, другий секретар Стахановського міського комітету Компартії України, член Комуністичної партії України, проживає в місті Стаханов Луганської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","107"
"КрисановЛеонід Дмитрович","народився 30 листопада 1949 року в місті Лисичанськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ЕУ ТПК ДеЛюкс"", член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Лисичанськ Луганської області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","107"
"СлєсарєвІгор Едуардович","народився 28 жовтня 1985 року в місті Стаханов Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, приватний підприємець, безпартійний, проживає в місті Стаханов Луганської області, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","107"
"ТеросиповВячеслав Михайлович","народився 31 березня 1955 року в місті Лисичанськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Лисичанськ Луганської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","","107"
"ФільСергій Олександрович","народився 7 лютого 1981 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, приватний підприємець, член Політичної партії ""Партія українського народу"", проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","09.08.2012","","107"
"ШаховСергій Володимирович","народився 7 травня 1975 року в селищі Саяк міста Балхаш Джезказганської області, Республіка Казахстан, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Шахов С.В."", безпартійний, проживає в місті Стаханов Луганської області, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","107"
"ШведовВіталій Миколайович","народився 7 сiчня 1976 року в місті Лисичанськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова громадської організації ""Фонд правової ініціативи"", безпартійний, проживає в місті Лисичанськ Луганської області, судимість відсутня, самовисування.","Самовисування","","","09.08.2012","","107"
"АндріяновОлександр Олександрович","народився 26 травня 1955 року в селі Печенеги Чугуївського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник-консультант народного депутата України, член Комуністичної партії України, проживає в місті Красний Луч Луганської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","108"
"ГуславськийВолодимир Станіславович","народився 30 вересня 1959 року в місті Міусинськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер Міністерства внутрішніх справ України, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","108"
"ЗаікаАртем Миколайович","народився 14 серпня 1978 року в місті Ізюм Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, приватний підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Ізюм Харківської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".","політична партія Всеукраїнське об’єднання ""Свобода""","","","10.08.2012","","108"
"КириченкоЛюдмила Федорівна","народилася 21 липня 1949 року в селі Акимівка Запорізької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Міжнародна громадська організація ""Берегиня світу"", безпартійнa, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","108"
"КолесніковВолодимир Анатолійович","народився 9 березня 1957 року в місті Чапаєвськ Куйбишевської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Красний Луч Луганської області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","108"
"МошенськийВалерій Вікторович","народився 10 грудня 1986 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, комунальне підприємство ""Київський водний стадіон"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","03.10.2012звернення із заявою про відмову балотуватися","108"
"МошенськийВалерій Захарович","народився 1 червня 1957 року в смт Ящикове Перевальського району Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, корпорація ""ГРУПА КОМПАНІЙ ""ПЛАНЕТА"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","108"
"ПідгорнийВолодимир Миколайович","народився 1 червня 1959 року в радгоспі ""Політотдел"" Глушковського району Курської області, Росія, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Красний Луч Луганської області, судимість відсутня, самовисування.","Самовисування","","","09.08.2012","","108"
"РжавськийОлександр Миколайович","народився 30 сiчня 1959 року в місті Краматорськ Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, президент, депутатський клуб ""Парламент"", член партії Всеукраїнське політичне об’єднання ""Єдина Родина"", проживає в місті Буча Київської області, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","108"
"СафоноваДар’я Євгеніївна","народилася 5 вересня 1985 року в місті Красний Луч Луганської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта базова вища, інженер, ФОП Гостюніна В.Є., безпартійнa, проживає в місті Красний Луч Луганської області, судимість відсутня, самовисування.","Самовисування","","","09.08.2012","","108"
"ТерніковЮрій Миколайович","народився 25 сiчня 1964 року в місті Алчевськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, благодійний фонд соціального захисту населення ""ДОБРОДІЙ"", член Партії регіонів, проживає в селі Білогородка Києво-Святошинського району Київської області, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","108"
"ТерніковЮрій Миколайович","народився 13 лютого 1989 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, юрист, комунальне підприємство ""Київський водний стадіон"", безпартійний, проживає в місті Донецьку, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","16.10.2012звернення із заявою про відмову балотуватися","108"
"ФедоровВасиль Васильович","народився 21 травня 1965 року в місті Вахрушеве Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, начальник технологічного комплексу, державне підприємство ""Луганськвуглереструктуризація"", член Партії Наталії Королевської – ""Україна – Вперед!"", проживає в місті Красний Луч Луганської області, судимість відсутня, суб’єкт висування – Партія Наталії Королевської – ""Україна – Вперед!"".","Партія Наталії Королевської ""Україна – Вперед!""","","","11.08.2012","","108"
"ФроловВолодимир Миколайович","народився 11 червня 1946 року в місті Алчевськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Алчевськ Луганської області, судимість відсутня, самовисування.","Самовисування","","","11.08.2012","","108"
"ЧередникГеннадій Олександрович","народився 19 серпня 1964 року в місті  Красний Луч Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, електрослюсар підземний, шахта ""Княгинівська"", безпартійний, проживає в місті Красний Луч Луганської області, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","108"
"БойкоВолодимир Олександрович","народився 26 серпня 1957 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Техінком"", член Партії ""Союз"", проживає в місті Луганську, судимість відсутня, суб’єкт висування – Партія ""Союз"".","Партія ""Союз""","","","10.08.2012","","109"
"БукаєваМарина Володимирівна","народилася 2 березня 1976 року в місті Краснодон Луганської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ ""Форсайт-Проджект"", член Партії регіонів, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","109"
"ДанієлянВадим Романович","народився 27 травня 1975 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","","09.08.2012","","109"
"ДудникОлена Григорівна","народилася 10 липня 1983 року в місті Шаргород Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер з досліджень та розробок, ТОВ ""Українська Маркетингова Група"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","09.08.2012","","109"
"КісельовОлег Валентинович","народився 22 сiчня 1965 року в місті Стаханов Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Партії Наталії Королевської – ""Україна – Вперед!"", проживає в місті Луганську, судимість відсутня, суб’єкт висування – Партія Наталії Королевської – ""Україна – Вперед!"".","Партія Наталії Королевської ""Україна – Вперед!""","","","11.08.2012","","109"
"КорнієвськийАркадій Юрійович","народився 11 листопада 1969 року в смт Краскіно Хасанського району Приморського краю, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, адвокат Донецької обласної колегії адвокатів, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","109"
"КривобоковАртем Анатолійович","народився 18 червня 1979 року в місті Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта базова вища, директор, ТОВ ""Восточно-Український Дім"", член політичної партії ""Народна партія вкладників та соціального захисту"", проживає в місті Луганську, судимість відсутня, суб’єкт висування – політична партія ""Народна партія вкладників та соціального захисту"".","політична партія ""Народна партія вкладників та соціального захисту""","","","06.08.2012","","109"
"ЛозкоІгор Якович","народився 4 липня 1967 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник комерційного директора з продажу, ПрАТ ""Чумак"", член Народної Партії, проживає в місті Луганську, судимість відсутня, суб’єкт висування – Народна Партія.","Народна Партія","","","03.08.2012","","109"
"МакаровКостянтин Костянтинович","народився 19 березня 1973 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Автотехобслуговування"", безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","","09.08.2012","","109"
"МакаровОлександр Костянтинович","народився 4 сiчня 1959 року в місті Суходільськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник начальника, головний відділ Управління СБУ в Луганській області, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","109"
"МедяникВолодимир Юрійович","народився 13 червня 1970 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ПП ""Терра"", член Партії регіонів, проживає в місті Луганську, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","109"
"МедяникТарас Анатолійович","народився 22 сiчня 1986 року в місті Мозир Гомельської області, Білорусь, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, тимчасово не працює, безпартійний, проживає в місті Слов’янськ Донецької області, судимість відсутня, самовисування.","Самовисування","","","16.08.2012","08.10.2012звернення із заявою про відмову балотуватися","109"
"МоравськийЮрій Вікторович","народився 3 жовтня 1967 року в місті Краснодон Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Авантаж"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Суходільськ міста Краснодон Луганської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","","109"
"ПавлінськийОлексій Вікторович","народився 8 липня 1959 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ДП ТОВ ""Ізодром"", безпартійний, проживає в місті Луганську, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","109"
"ПригебаГригорій Валентинович","народився 28 грудня 1961 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Луганська  обласна громадська організація ""Народний фронт Луганщини"", член Радикальної Партії Олега Ляшка, проживає в місті Луганську, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","","16.08.2012","","109"
"РєзнікМикола Миколайович","народився 25 травня 1952 року в місті Кремінна Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, СПТУ №3 села Горний Краснодонського району Луганської області, член Комуністичної партії України, проживає в смт Новосвітлівка Краснодонського району Луганської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","109"
"СуглобовЄвген Валерійович","народився 19 сiчня 1972 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, асистент кафедри мікробіології, Луганський державний медичний університет, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","","16.08.2012","","109"
"БебешкоОлександр Миколайович","народився 14 травня 1971 року в місті Алчевськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, приватний підприємець, член Комуністичної партії України, проживає в місті Перевальськ Луганської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","110"
"ГорулькоЮлія Олександрівна","народилася 29 серпня 1981 року в селищі Решетилівка Полтавської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня, фізична особа – підприємець, безпартійнa, проживає в селищі Решетилівка Полтавської області, судимість відсутня, самовисування.","Самовисування","","","16.08.2012","","110"
"ДанченкоВіктор Іванович","народився 19 червня 1962 року в селі Оріхове міста Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Авто-Юрист"", безпартійний, проживає в місті Антрацит Луганської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","16.10.2012звернення партії про скасування реєстрації","110"
"ЖученкоОлександр Вікторович","народився 24 червня 1972 року в місті Стаханов Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник Стахановського міського голови, безпартійний, проживає в місті Стаханов Луганської області, судимість відсутня, самовисування.","Самовисування","","","06.08.2012","","110"
"ІвановДмитро Валерійович","народився 16 листопада 1975 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний лікар, 1-ша Міська лікарня міста Стаханов, член Партії регіонів, проживає в місті Стаханов Луганської області, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","110"
"КалюжнийЮрій Геннадійович","народився 12 листопада 1960 року в селі Великоцьк Міловського району Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, приватний підприємець, безпартійний, проживає в місті Алчевськ Луганської області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","","16.08.2012","16.10.2012звернення партії про скасування реєстрації","110"
"КириченкоМикола Єгорович","народився 11 жовтня 1948 року в селі Оріхове Антрацитівського району Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Алчевськ Луганської області, судимість відсутня, самовисування.","Самовисування","","","11.08.2012","","110"
"ЛисянськийПавло Леонідович","народився 11 вересня 1987 року в місті Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, аспірант, Донбаський державний технічний університет, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Антрацит Луганської області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","110"
"СаліховАртем Романович","народився 3 листопада 1982 року в місті Лисичанськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Партії Наталії Королевської – ""Україна – Вперед!"", проживає в місті Луганську, судимість відсутня, суб’єкт висування – Партія Наталії Королевської – ""Україна – Вперед!"".","Партія Наталії Королевської ""Україна – Вперед!""","","","11.08.2012","","110"
"ЧубАртем Вікторович","народився 27 квiтня 1988 року в місті Алчевськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, оператор посту управління, ТОВ ""Метали та полімери"", безпартійний, проживає в місті Алчевськ Луганської області, судимість відсутня, самовисування.","Самовисування","","","16.08.2012","20.08.2012звернення із заявою про відмову балотуватися","110"
