"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Декларація","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"МіхайлутінаНіна Петрівна","народилася 17 червня 1955 року в селі Зеленогорське Білогорського району Республіки Крим, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, бухгалтер, ТОВ Фірма ""Барс"", безпартійнa, проживає в місті Бахчисарай Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Держава"".","Політична партія ""Держава""","","","07.08.2012","","2"
"НовіковВіталій Сергійович","народився 10 жовтня 1978 року в селі Синицине Кіровського району Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в селі Синицине Кіровського району Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Народна ініціатива"".","Політична партія ""Народна ініціатива""","","","06.08.2012","","2"
"ПетровАнатолій Іванович","народився 6 листопада 1960 року в селі Лісносілля Сімферопольського району Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, самовисування.","Самовисування","","","09.08.2012","","2"
"ПруденкоЮрій Валентинович","народився 17 березня 1974 року в місті Запоріжжі, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, приватний підприємець, безпартійний, проживає в місті Білогірськ Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Соціально-екологічна партія ""Союз. Чорнобиль. Україна."".","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""","","","13.08.2012","","2"
"СидороваАбіба Іскандарівна","народилася 13 травня 1954 року в селі Куйбишево Янгіюльського району Ташкентської області, Узбекистан, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, пенсіонерка, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в селі Андрусове Сімферопольського району Автономної Республіки Крим, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","","2"
"СпірідоновОлександр Юрійович","народився 5 травня 1985 року в селищі Нижньогірське Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Юридична фірма ""Крим-Консул"", член Політичної партії ""Руська Єдність"", проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Руська Єдність"".","Політична партія ""Руська Єдність""","","","15.08.2012","","2"
"СудрабАндрій Володимирович","народився 11 серпня 1967 року в місті Сімферополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора із зовнішньоекономічних зв’язків, ТОВ ""Юридична компанія ""Альянс"", безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Всеукраїнське об'єднання ""ЦЕНТР"".","Політична партія ""Всеукраїнське об’єднання ""ЦЕНТР""","","","07.08.2012","","2"
"ЧерноморовОлександр Миколайович","народився 20 травня 1953 року в місті Санкт-Петербурзі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, заступник голови Комітету Верховної Ради України з питань державного будівництва та місцевого самоврядування, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","10.10.2012звернення із заявою про відмову балотуватися","2"
"ЩербаковаАнгеліна Миколаївна","народилася 20 лютого 1953 року в селі Кірове Ореховського району Запорізької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, професійно-технічне училище № 38, безпартійнa, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""НОВА ПОЛІТИКА"".","Політична партія ""НОВА ПОЛІТИКА""","","","13.08.2012","","2"
"ЯнуцикОлексій Юрійович","народився 15 серпня 1978 року в місті Сімферополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, самовисування.","Самовисування","","","15.08.2012","","2"
