"id","deputat","tvo","winner","factions_text","party_name","anketa_data","proposed","prediction_150","year","convocation","previous","ever","anketa_url","fraction"
15667,"Продан Оксана Петрівна",201,1,NA,"Безпартійний","народилася 16 квiтня 1974 року, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійнa, проживає в місті Чернівцях, судимість відсутня, включена до виборчого списку під № 15.","самовисування",0.334407061338425,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15667","Заступник голови депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
15831,"Федорук Микола Трохимович",201,0,NA,"Політична партія ""НАРОДНИЙ ФРОНТ""","народився 20 березня 1954 року в селі Пісочне Ковельського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Чернівцях, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","самовисування",0.300528436899185,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15831","Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
9123,"Рибак Іван Петрович",202,1,NA,"Безпартійний","народився 11 березня 1978 року в селі Ворохта Надвірнянського району Івано-Франківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Чернівецька обласна державна адміністрація, безпартійний, проживає в місті Чернівцях, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",0.777555763721466,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/9123","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
18142,"Тіміш Григорій Іванович",203,1,NA,"Безпартійний","народився 11 грудня 1970 року в селі Купка Глибоцького району Чернівецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Глибоцька районна державна адміністрація, безпартійний, проживає в селі Купка Глибоцького району Чернівецької області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",0.79805600643158,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18142","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
777,"Попеску Іван Васильович",203,0,NA,"Партія регіонів","освіта вища,<br>народний депутат України,<br>член Партії регіонів,<br>проживає в селі Нижні Петрівці Сторожинецького району Чернівецької області,<br>судимість відсутня,<br>включений до виборчого списку під № 73.","самовисування",0.106971755623817,2019,7,FALSE,TRUE,"http://itd.rada.gov.ua/mps/info/expage/777/8",NA
15655,"Бурбак Максим Юрійович",204,1,NA,"Політична партія ""НАРОДНИЙ ФРОНТ""","народився 13 сiчня 1976 року в місті Чернівці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Міністр інфраструктури України, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Чернівцях, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","самовисування",0.69263619184494,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15655","Голова депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
18160,"Куліч Валерій Петрович",205,1,NA,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","народився 28 серпня 1973 року в селі Жовтневе Коропського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ ""ФОРСАЖ"", член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Чернігові, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",0.792266070842743,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18160",NA
8870,"Ткаченко Володимир Володимирович",205,0,NA,"""Блок Юлії Тимошенко"" - виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія""","член Всеукраїнського об’єднання ""Батьківщина"",<br>освіта вища,<br>доцент кафедри всесвітньої історії Чернігівського державного педагогічного університету імені Т.Г.Шевченка,<br>проживає у місті Чернігові","самовисування",0.166051119565964,2019,5,FALSE,TRUE,"http://itd.rada.gov.ua/mps/info/expage/8870/6",NA
20107,"Микитась Максим Вікторович",206,1,NA,"Безпартійний","народився 13 вересня 1980 року в місті Прип’ять Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, президент, Українська державна будівельна корпорація ""Укрбуд"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","самовисування",0.891701519489288,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/20107","Член депутатської групи ""Воля народу"""
18089,"Євлахов Анатолій Сергійович",207,1,NA,"Безпартійний","народився 14 квiтня 1981 року в місті Керч Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор департаменту, ПАТ ""Слов’янські шпалери – КФТП"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",0.879849553108215,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18089","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
