deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread,proposed_full
Нестерук Валерій Миколайович,170,NA,0.00932387246677476,самовисування,NA,53,M,-0.475706560600333,самовисування
Кінзбурська Вікторія Олександрівна,171,NA,0.936456239329471,СН,NA,39,F,0.915838259472327,політична партія слуга народу
Кушнарьов Сергій Петрович,171,NA,0.0206179798571435,самовисування,NA,57,M,0,самовисування
Лесик Андрій Анатолійович,171,NA,0.0158435016114053,ОПЗЖ,NA,38,M,-0.00477447824573818,політична партія опозиційна платформа за життя
Мисик Володимир Юрійович,172,NA,0.632445544566061,самовисування,партія відродження,54,M,0.293607714125034,самовисування
Здебський Юрій Вікторович,172,NA,0.338837830441027,СН,NA,47,M,0,політична партія слуга народу
Плотніков Роман Олексійович,172,NA,0.0103561706439736,ЄС,NA,38,M,-0.328481659797053,політична партія європейська солідарність
Денисенко Анатолій Петрович,173,NA,0.566078874377528,самовисування,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",48,M,0.152240869129029,самовисування
Бакумов Олександр Сергійович,173,NA,0.413838005248499,СН,NA,30,M,0,політична партія слуга народу
Лаврінець Ігор Олександрович,173,NA,0.00943485202457134,ЄС,NA,23,M,-0.404403153223928,політична партія європейська солідарність
Фельдман Олександр Борисович,174,NA,0.556778804152567,самовисування,воля народу,59,M,0.137500381862155,самовисування
Алєксєйчук Вікторія Іванівна,174,NA,0.419278422290411,СН,NA,42,F,0,політична партія слуга народу
Каленюк Сергій Іванович,174,NA,0.00955927193211079,самовисування,NA,55,M,-0.409719150358301,самовисування
Пивоваров Євген Павлович,175,NA,0.658918828660458,СН,NA,41,M,0.355046911628803,політична партія слуга народу
Кацуба Володимир Михайлович,175,NA,0.303871917031655,ОПОБЛОК,партія відродження,62,M,0,політична партія опозиційний блок
Кисіль Віктор Васильович,175,NA,0.0156465296145627,Голос,NA,47,M,-0.288225387417093,політична партія голос
Счисльонок Олександр Васильович,176,NA,0.351555418637718,СН,NA,57,M,0.0303452275499064,політична партія слуга народу
Шенцев Дмитро Олексійович,176,NA,0.321210191087812,ОПОБЛОК,політичної партії опозиційний блок у верховній раді україни восьмого скликання,55,M,0,політична партія опозиційний блок
Новицький Дмитро Володимирович,176,NA,0.309187125988008,ОПЗЖ,NA,35,M,-0.0120230650998042,політична партія опозиційна платформа за життя
Любота Дмитро Валерійович,177,NA,0.525218705404993,СН,NA,38,M,0.201160166488595,політична партія слуга народу
Остапчук Віктор Миколайович,177,NA,0.324058538916398,ОПОБЛОК,партія відродження,64,M,0,політична партія опозиційний блок
Радьков Сергій Миколайович,177,NA,0.121366271202381,ОПЗЖ,NA,56,M,-0.202692267714017,політична партія опозиційна платформа за життя
Літвінов Олександр Миколайович,178,NA,0.544430121505395,СН,NA,47,M,0.131686386450801,політична партія слуга народу
Добкін Дмитро Маркович,178,NA,0.412743735054594,ОПОБЛОК,політичної партії опозиційний блок у верховній раді україни восьмого скликання,44,M,0,політична партія опозиційний блок
Білокудря Валерій Миколайович,178,NA,0.0301182857354652,ОПЗЖ,NA,60,M,-0.382625449319129,політична партія опозиційна платформа за життя
Гіршфельд Анатолій Мусійович,179,NA,0.532975483493889,самовисування,воля народу,62,M,0.0855278044902634,самовисування
Кучер Олексій Володимирович,179,NA,0.447447679003626,СН,NA,34,M,0,політична партія слуга народу
Коба Сергій Олексійович,179,NA,0.00794231987215969,ЄС,NA,49,M,-0.439505359131466,політична партія європейська солідарність
Біловол Олександр Миколайович,180,NA,0.588258118932268,самовисування,партія відродження,57,M,0.201992465043592,самовисування
Красов Олексій Ігорович,180,NA,0.386265653888675,СН,NA,32,M,0,політична партія слуга народу
Кравцов Іван Анатолійович,180,NA,0.0117620003646011,ЄС,NA,40,M,-0.374503653524074,політична партія європейська солідарність
Микиша Дмитро Сергійович,181,NA,0.866507998355493,СН,NA,34,M,0.802547943566192,політична партія слуга народу
Кошеленко Віталій Анатолійович,181,NA,0.0639600547893007,самовисування,NA,47,M,0,самовисування
Строгий Олександр Федорович,181,NA,0.0368564139604723,самовисування,NA,61,M,-0.0271036408288284,самовисування
Павліш Павло Васильович,182,NA,0.597116982657712,СН,NA,40,M,0.255562437034636,політична партія слуга народу
Співаковський Олександр Володимирович,182,NA,0.341554545623076,самовисування,партії блок петра порошенка,62,M,0,самовисування
Білецький Павло Сергійович,182,NA,0.0278518265961565,Голос,NA,36,M,-0.31370271902692,політична партія голос
Вагнєр Вікторія Олександрівна,183,NA,0.775025278631662,СН,NA,38,F,0.663848894154912,політична партія слуга народу
Одарченко Юрій Віталійович,183,NA,0.111176384476749,ВОБ,політичної партії всеукраїнське обєднання батьківщина у верховній раді україни,59,M,0,політична партія всеукраїнське обєднання батьківщина
Кирилов Юрій Євгенович,183,NA,0.0449763560661625,ЄС,NA,39,M,-0.066200028410587,політична партія європейська солідарність
Репілевський Данило Едуардович,184,NA,0.456781499218707,СН,NA,32,M,0.0180444399900244,політична партія слуга народу
Вінник Іван Юлійович,184,NA,0.438737059228683,самовисування,партії блок петра порошенка,40,M,0,самовисування
Гречана Світлана Юріївна,184,NA,0.080477783931311,ВОБ,NA,46,F,-0.358259275297372,політична партія всеукраїнське обєднання батьківщина
Іванов Володимир Ілліч,185,NA,0.489807640409858,СН,NA,37,M,0.0993057262282973,політична партія слуга народу
Хлань Сергій Володимирович,185,NA,0.390501914181561,самовисування,партії блок петра порошенка,47,M,0,самовисування
Філіпчук Павло Ігорович,185,NA,0.0471201226686475,ОПЗЖ,NA,36,M,-0.343381791512913,політична партія опозиційна платформа за життя
Ковальов Олексій Іванович,186,NA,0.571765576501544,СН,NA,30,M,0.247749182810242,політична партія слуга народу
Негой Федір Федорович,186,NA,0.324016393691302,самовисування,партії блок петра порошенка,61,M,0,самовисування
Рибалко Сергій Вікторович,186,NA,0.0404449825909955,ОПЗЖ,NA,51,M,-0.283571411100306,політична партія опозиційна платформа за життя
Мельник Сергій Іванович,187,NA,0.748774075606669,самовисування,партії блок петра порошенка,54,M,0.566307936432801,самовисування
Стефанчук Микола Олексійович,187,NA,0.182466139173868,СН,NA,38,M,0,політична партія слуга народу
Діденко Віталій Васильович,187,NA,0.0334677510488732,Свобода,NA,44,M,-0.148998388124995,політична партія всеукраїнське обєднання свобода
Лабазюк Сергій Петрович,188,NA,0.923225095570166,самовисування,воля народу,39,M,0.891909545599371,самовисування
Бочкарьова Оксана Валеріївна,188,NA,0.0313155499707953,СН,NA,43,F,0,політична партія слуга народу
Кліщ Віктор Васильович,188,NA,0.0231439461988362,самовисування,NA,57,M,-0.00817160377195908,самовисування
Шинькович Андрій Васильович,189,NA,0.726208207597894,самовисування,партії блок петра порошенка,43,M,0.587820698852312,самовисування
